gene	mean_log2ND	std_log2ND	median_log2ND	R-181105-501025-BLD-485154_BC_E18110806-2-DNA_F1811082897-14_L181108-00003-A3_20181110-C8_panel12_P181110411-2_sample20181110-nextseq-TPNB500304-log2_ND	R-RZ	R-CopyRatio
TNFRSF14	0.024225252	0.1038003	0.048279189	0.21967443	1.8829346	0.12129318
TNFRSF14	-0.21581017	0.04817016	-0.21512035	-0.044119504	3.5642536	0.12089878
TNFRSF14	-0.15303697	0.059516353	-0.14675391	-0.0055521444	2.4780555	0.091099704
TNFRSF14	-0.17638346	0.53690858	-0.26320142	-0.54531178	-0.68713433	-0.33221242
TNFRSF14	-0.57311212	0.09707305	-0.56503291	-0.51119565	0.63783382	0.0037352023
TNFRSF14	-0.60969772	0.22567056	-0.64336317	-0.43094575	0.79209255	0.16231536
TNFRSF14	0.56556801	0.10932938	0.58318754	0.34388407	-2.0276703	-0.28940553
TNFRSF14	-0.1972259	0.052218937	-0.19197191	-0.032154053	3.1611491	0.10971579
ERRFI1	0.45055742	0.27768436	0.39938634	0.44837886	-0.0078454676	-0.0011095455
ERRFI1	-0.050764307	0.44226116	-0.1277513	-0.29305837	-0.54785291	-0.21540913
ERRFI1	0.22398337	0.090262907	0.23092439	0.78584246	6.2246953	0.50481601
ERRFI1	0.28615357	0.05953005	0.27929859	0.5301603	4.0988834	0.20075965
MTOR	-0.013095389	0.47550353	-0.091790656	-0.15040017	-0.2887566	-0.10871158
MTOR	-0.42207713	0.067541605	-0.41272501	-0.11658568	4.5230114	0.24603727
MTOR	0.27992029	0.13281689	0.30464255	0.77871502	3.7555068	0.42397041
MTOR	0.11485325	0.098714476	0.13063388	0.48758231	3.7758298	0.30684637
MTOR	0.20426349	0.08846237	0.20717686	0.13317109	-0.80364568	-0.12410783
MTOR	-0.68422866	0.048983307	-0.69118658	-0.42801772	5.2305766	0.2130668
MTOR	0.036958019	0.13084126	0.05227215	0.95364772	7.006121	0.85127351
MTOR	0.09568641	0.074691968	0.10742552	0.093044351	-0.035372737	-0.064483231
MTOR	-0.067323189	0.11489564	-0.05332794	-0.089059899	-0.18918655	-0.085834021
MTOR	-0.68996108	0.049352134	-0.68508981	-0.54720658	2.89257	0.087781172
MTOR	0.019441637	0.053717291	0.023398328	-0.037640741	-1.0626444	-0.11114113
