gene	mean_log2ND	std_log2ND	median_log2ND	R-181110-535748-BLD-521005_BC_E18111112-3-DNA_F1811112948-16_L181111-00002-A5_20181113-C12_panel12_P181114419-3_sample20181114-A3-A00168-log2_ND	R-RZ	R-CopyRatio
TNFRSF14	0.024225252	0.1038003	0.048279189	0.21224924	1.8114012	0.087512333
TNFRSF14	-0.21581017	0.04817016	-0.21512035	-0.17275781	0.89375585	-0.034095178
TNFRSF14	-0.15303697	0.059516353	-0.14675391	0.00078986864	2.5846147	0.071086058
TNFRSF14	-0.17638346	0.53690858	-0.26320142	-0.62079779	-0.82772812	-0.43405409
TNFRSF14	-0.57311212	0.09707305	-0.56503291	-0.48748121	0.88212857	0.0010939807
TNFRSF14	-0.60969772	0.22567056	-0.64336317	-0.47822662	0.58257975	0.088678827
TNFRSF14	0.56556801	0.10932938	0.58318754	0.4693677	-0.8799127	-0.19027756
TNFRSF14	-0.1972259	0.052218937	-0.19197191	0.14287161	6.5129152	0.2583858
ERRFI1	0.45055742	0.27768436	0.39938634	0.57427202	0.44552239	0.09842796
ERRFI1	-0.050764307	0.44226116	-0.1277513	-0.12079262	-0.15834154	-0.069499043
ERRFI1	0.22398337	0.090262907	0.23092439	1.1497125	10.25592	0.84233043
ERRFI1	0.28615357	0.05953005	0.27929859	0.71844018	7.2616537	0.36268387
MTOR	-0.013095389	0.47550353	-0.091790656	-0.096666546	-0.17575297	-0.081333611
MTOR	-0.42207713	0.067541605	-0.41272501	0.2220978	9.5374536	0.55836509
MTOR	0.27992029	0.13281689	0.30464255	1.3040712	7.7109988	0.92297089
MTOR	0.11485325	0.098714476	0.13063388	0.73347453	6.2667737	0.52638293
MTOR	0.20426349	0.08846237	0.20717686	0.10136793	-1.1631562	-0.18226665
MTOR	-0.68422866	0.048983307	-0.69118658	-0.27302894	8.3946908	0.34169992
MTOR	0.036958019	0.13084126	0.05227215	1.4954752	11.147227	1.3667453
MTOR	0.09568641	0.074691968	0.10742552	0.20550661	1.470308	0.021623366
MTOR	-0.067323189	0.11489564	-0.05332794	0.23195166	2.6047538	0.20882188
MTOR	-0.68996108	0.049352134	-0.68508981	-0.57619645	2.3051614	0.032435644
MTOR	0.019441637	0.053717291	0.023398328	0.23068919	3.9325802	0.13083315
MTOR	-0.17393826	0.057649276	-0.17986591	0.20561098	6.5837641	0.30901916
MTOR	0.057326634	0.050467282	0.058466777	0.13483456	1.5358055	-8.9936581e-05
MTOR	0.11695139	0.056199201	0.12113616	0.4401599	5.7511229	0.24256602
MTOR	-0.16400733	0.08468015	-0.16713529	-0.022631748	1.6695245	0.068045821
MTOR	-0.094672799	0.069936821	-0.097258565	0.19598823	4.1560515	0.21678907
MTOR	-0.26446756	0.089009531	-0.24885235	-0.13456169	1.4594602	0.037832938
MTOR	-0.47810681	0.11210386	-0.45746856	0.011304981	4.3656997	0.39231582
MTOR	-0.2253833	0.095239646	-0.21653069	0.10118956	3.4289592	0.24126253
MTOR	0.62578836	0.18500604	0.60313624	0.45853913	-0.90402035	-0.22105483
MTOR	0.12744345	0.040048574	0.12972966	0.4193371	7.2884904	0.21314972
MTOR	-0.23989322	0.055289022	-0.23075206	-0.092464552	2.6665089	0.061829788
MTOR	-0.057474482	0.082578593	-0.059893539	0.37243662	5.2060841	0.35587243
MTOR	-0.2743685	0.043286789	-0.26908257	-0.10058648	4.0146664	0.092038365
MTOR	-0.030019803	0.048777652	-0.034933579	0.1574622	3.8436046	0.11593806
MTOR	-0.49918912	0.11511644	-0.47806064	-0.30258864	1.7078401	0.099014275
MTOR	-0.52564972	0.098044539	-0.49951102	-0.20164325	3.3046865	0.22141005
MTOR	-0.25871929	0.10289547	-0.23806766	-0.057464223	1.9559177	0.10414572
MTOR	0.25192128	0.059020284	0.25733291	0.5262723	4.6484192	0.19248167
MTOR	-1.3044145	0.1128386	-1.284784	-0.73280816	5.0656986	0.47551812
MTOR	0.18602738	0.043596789	0.18178485	-0.10954989	-6.7797946	-0.36779246
MTOR	-0.05790878	0.065933503	-0.065394064	0.51417864	8.6767332	0.50311498
