gene	mean_log2ND	std_log2ND	median_log2ND	R-190115-979857-BLD-101100_BC_E19011812-32-DNA_F1901184313-27_L190118-00002-H6_20190121-C8_panel12_plus_P190121536-1_sample20190121-B3-A00168-log2_ND	R-RZ	R-CopyRatio
TNFRSF14	0.024225252	0.1038003	0.048279189	0.1173827	0.89746796	0.065116866
TNFRSF14	-0.21581017	0.04817016	-0.21512035	-0.30180238	-1.785176	-0.090668672
TNFRSF14	-0.15303697	0.059516353	-0.14675391	-0.29554572	-2.3944469	-0.15277845
TNFRSF14	-0.17638346	0.53690858	-0.26320142	-0.60458759	-0.79753638	-0.34537281
TNFRSF14	-0.57311212	0.09707305	-0.56503291	-1.2573341	-7.0485264	-0.6962878
TNFRSF14	-0.60969772	0.22567056	-0.64336317	-0.78510334	-0.77726407	-0.14572681
TNFRSF14	0.56556801	0.10932938	0.58318754	-0.48949578	-9.6503226	-1.07667
TNFRSF14	-0.1972259	0.052218937	-0.19197191	-1.1903101	-19.017702	-1.0023248
ERRFI1	0.45055742	0.27768436	0.39938634	0.57249289	0.43911538	0.16911991
ERRFI1	-0.050764307	0.44226116	-0.1277513	-0.40140147	-0.79282829	-0.27763681
ERRFI1	0.22398337	0.090262907	0.23092439	-0.42398804	-7.178712	-0.65889907
ERRFI1	0.28615357	0.05953005	0.27929859	0.01107926	-4.620764	-0.27220597
MTOR	-0.013095389	0.47550353	-0.091790656	-0.57412448	-1.1798631	-0.48632046
MTOR	-0.42207713	0.067541605	-0.41272501	-0.85037679	-6.3412715	-0.44163842
MTOR	0.27992029	0.13281689	0.30464255	0.031240723	-1.872349	-0.27738847
MTOR	0.11485325	0.098714476	0.13063388	-0.18554511	-3.0431034	-0.32016563
MTOR	0.20426349	0.08846237	0.20717686	1.2563375	11.892899	1.045174
MTOR	-0.68422866	0.048983307	-0.69118658	-1.1674861	-9.8657586	-0.4802862
MTOR	0.036958019	0.13084126	0.05227215	-0.55407935	-4.5172094	-0.61033814
MTOR	0.09568641	0.074691968	0.10742552	-1.099795	-16.005488	-1.2112071
MTOR	-0.067323189	0.11489564	-0.05332794	-1.2458109	-10.257027	-1.1964696
MTOR	-0.68996108	0.049352134	-0.68508981	-0.84976947	-3.2381251	-0.1686663
MTOR	0.019441637	0.053717291	0.023398328	-0.22870895	-4.6195663	-0.25609392
MTOR	-0.17393826	0.057649276	-0.17986591	-0.26248938	-1.5360318	-0.08661011
MTOR	0.057326634	0.050467282	0.058466777	-0.30995676	-7.2776535	-0.37241017
MTOR	0.11695139	0.056199201	0.12113616	-0.18152983	-5.3111293	-0.30665263
MTOR	-0.16400733	0.08468015	-0.16713529	-0.48700745	-3.8143546	-0.3238588
MTOR	-0.094672799	0.069936821	-0.097258565	-0.19508068	-1.4356941	-0.10180875
MTOR	-0.26446756	0.089009531	-0.24885235	-0.59806358	-3.7478685	-0.35319787
MTOR	-0.47810681	0.11210386	-0.45746856	-1.0119565	-4.7620992	-0.55847459
MTOR	-0.2253833	0.095239646	-0.21653069	-0.1647371	0.63677477	0.047806953
MTOR	0.62578836	0.18500604	0.60313624	0.84553078	1.1877581	0.23840789
MTOR	0.12744345	0.040048574	0.12972966	-0.10983765	-5.9248326	-0.24355395
