Chr	start	end	gene	depth	sample20190415-I1-log2_ND
chr1	2488056	2488211	TNFRSF14	499	0.013853856
chr1	2489141	2489313	TNFRSF14	545	-0.20425704
chr1	2489756	2489932	TNFRSF14	517	-0.46377417
chr1	2490291	2491438	TNFRSF14	3934	-0.35306312
chr1	2492036	2492175	TNFRSF14	273	-0.93186803
chr1	2492906	2493294	TNFRSF14	1361	-0.42848702
chr1	2494241	2494376	TNFRSF14	705	0.21171214
chr1	2494556	2494729	TNFRSF14	582	-0.26431944
chr1	8073238	8073699	ERRFI1	5011	0.47218614
chr1	8073713	8074483	ERRFI1	5237	-0.27041073
chr1	8075343	8075480	ERRFI1	961	0.064471569
chr1	8075523	8075707	ERRFI1	1438	0.33846936
chr1	11166635	11167580	MTOR	6910	-0.13079635
chr1	11168205	11168364	MTOR	647	-0.60350902
chr1	11169315	11169445	MTOR	957	0.23938507
chr1	11169675	11169815	MTOR	1029	0.23852813
chr1	11172865	11173001	MTOR	930	0.33730406
chr1	11174350	11174539	MTOR	662	-0.57868835
chr1	11174835	11174979	MTOR	890	-0.035733056
chr1	11175415	11175563	MTOR	872	0.23291041
chr1	11177030	11177163	MTOR	850	-0.013209054
chr1	11181270	11181471	MTOR	702	-0.52113725
chr1	11182010	11182220	MTOR	1247	0.10975849
chr1	11184525	11184702	MTOR	1026	-0.11463261
chr1	11186655	11186862	MTOR	1261	-0.12468477
chr1	11187035	11187228	MTOR	1344	0.28741721
chr1	11187645	11187907	MTOR	1544	-0.094749261
chr1	11188030	11188214	MTOR	996	0.015740337
chr1	11188475	11188625	MTOR	674	-0.20527048
chr1	11188885	11189020	MTOR	591	-0.52923874
chr1	11189770	11189904	MTOR	674	-0.014194967
chr1	11190550	11190876	MTOR	2520	0.56558025
chr1	11193105	11193296	MTOR	1121	0.17394457
chr1	11194385	11194566	MTOR	766	-0.093767793
chr1	11199325	11199503	MTOR	942	-0.23969017
chr1	11199555	11199744	MTOR	913	-0.11571878
chr1	11204670	11204856	MTOR	935	-0.11602606
chr1	11204990	11205138	MTOR	576	-0.49418361
chr1	11206705	11206859	MTOR	604	-0.45597547
chr1	11210160	11210300	MTOR	759	-0.020737609
chr1	11217180	11217359	MTOR	1363	0.60955848
chr1	11227465	11227598	MTOR	340	-1.3055601
chr1	11259290	11259503	MTOR	1151	-0.16557028
chr1	11259575	11259789	MTOR	1222	-0.17388127
chr1	11264585	11264802	MTOR	1221	0.27861029
chr1	11269345	11269553	MTOR	1995	0.49568677
chr1	11270845	11270977	MTOR	470	-0.87234616
chr1	11272335	11272558	MTOR	1281	-0.058408197
chr1	11272820	11273006	MTOR	714	-0.70069806
chr1	11273420	11273653	MTOR	756	-1.0129608
chr1	11276170	11276312	MTOR	666	-0.42457531
chr1	11288695	11289019	MTOR	1899	-0.15518516
chr1	11290950	11291125	MTOR	1131	0.16065812
chr1	11291325	11291521	MTOR	950	-0.21838316
chr1	11292465	11292600	MTOR	466	-0.92999187
chr1	11293420	11293565	MTOR	972	0.092041837
chr1	11294165	11294360	MTOR	913	-0.26517474
chr1	11297875	11298133	MTOR	1207	-0.14998625
chr1	11298430	11298713	MTOR	1418	-0.26394024
chr1	11300325	11300615	MTOR	1479	-0.14112736
chr1	11301575	11301777	MTOR	561	-0.92176877
chr1	11303140	11303395	MTOR	1444	-0.09983329
chr1	11307655	11307831	MTOR	1138	0.11636183
chr1	11307845	11308173	MTOR	2164	-0.011408737
chr1	11313870	11314046	MTOR	1434	0.50909679
chr1	11316025	11316416	MTOR	1832	-0.57473985
chr1	11316965	11317242	MTOR	1263	-0.26807173
chr1	11318520	11318695	MTOR	757	-0.68025373
chr1	11319275	11319494	MTOR	1826	0.76283334
chr1	11854405	11854540	rs1801131	754	-0.0402767
chr1	11856295	11856442	rs1801133	561	-0.36428178
chr1	13940287	13940366	PDPN	128	-1.8952712
chr1	16174529	16174663	SPEN	360	-0.39937677
chr1	16199279	16200902	SPEN	13527	0.11441293
chr1	16202674	16203200	SPEN	2777	-0.44197008
chr1	16235794	16236007	SPEN	1730	0.24319747
chr1	16237569	16237827	SPEN	1124	-0.76414236
chr1	16242599	16242803	SPEN	1524	0.064313174
chr1	16245399	16245574	SPEN	826	-0.20791622
chr1	16245874	16246038	SPEN	1562	0.64860098
chr1	16247354	16247492	SPEN	725	-0.3630062
chr1	16248734	16248872	SPEN	635	-0.51558775
chr1	16254564	16257510	SPEN	15035	0.29776886
chr1	16257524	16262465	SPEN	26129	1.4782763
chr1	16262474	16262799	SPEN	1255	-0.0640891
chr1	16263624	16264155	SPEN	3830	0.47956181
chr1	16264274	16264534	SPEN	968	-0.26095906
chr1	16265189	16265405	SPEN	949	-0.13729652
chr1	16265764	16265956	SPEN	1177	0.31212881
chr1	17345333	17345454	SDHB	721	-0.041346989
chr1	17349078	17349268	SDHB	782	-0.31158115
chr1	17350433	17350584	SDHB	404	-0.89602984
chr1	17354218	17354360	SDHB	663	-0.51915226
chr1	17355073	17355252	SDHB	994	-0.18531178
chr1	17359523	17359658	SDHB	726	-0.30690911
chr1	17371233	17371400	SDHB	965	-0.063783721
chr1	17380403	17380537	SDHB	284	-0.6325692
chr1	20915618	20915762	rs2072671	562	0.10646946
chr1	20931403	20931539	rs60369023	571	-0.36239701
chr1	21307663	21307735	EIF4G3	291	0.082669776
chr1	21307753	21307820	EIF4G3	241	0.53039353
chr1	23885407	23885541	ID3	670	-0.10665246
chr1	23885582	23885943	ID3	1411	-0.061165819
chr1	26227526	26227597	STMN1	353	0.22158687
chr1	26227621	26227690	STMN1	319	0.43662769
chr1	27022861	27022937	ARID1A	69	-1.2800076
chr1	27022946	27024052	ARID1A	1855	-0.98131723
chr1	27056106	27056397	ARID1A	1553	-0.11395417
chr1	27057621	27058114	ARID1A	3791	0.51317484
chr1	27059131	27059315	ARID1A	1045	-0.069656437
chr1	27087321	27087604	ARID1A	1915	0.25485571
chr1	27087841	27087988	ARID1A	389	-0.81340778
chr1	27088611	27088831	ARID1A	973	-0.29768398
chr1	27089431	27089786	ARID1A	1559	-0.34414797
chr1	27092686	27092893	ARID1A	1430	0.16342716
chr1	27092926	27093095	ARID1A	1443	0.37540225
chr1	27094256	27094498	ARID1A	1519	0.034104456
chr1	27097581	27097828	ARID1A	1056	-0.57787625
chr1	27098956	27099140	ARID1A	1529	0.76500327
chr1	27099276	27099503	ARID1A	1070	-0.54267067
chr1	27099801	27100019	ARID1A	1353	0.44504859
chr1	27100036	27100196	ARID1A	1265	0.82440041
chr1	27100256	27100416	ARID1A	906	0.080989963
chr1	27100796	27101744	ARID1A	3729	-0.4647861
chr1	27102041	27102228	ARID1A	930	-0.20987242
chr1	27105491	27105662	ARID1A	1211	0.11621747
chr1	27105721	27107260	ARID1A	8949	-0.029645946
chr1	29016631	29016704	GMEB1	182	-0.82952358
chr1	29016731	29016802	GMEB1	295	0.089613988
chr1	36931672	36932548	CSF3R	5087	0.051168267
chr1	36932797	36932945	CSF3R	340	-0.659685
chr1	36933132	36933279	CSF3R	397	-0.45909745
chr1	36933397	36933602	CSF3R	890	0.13688778
chr1	36933652	36933860	CSF3R	699	-0.47732505
chr1	36934722	36934872	CSF3R	397	-0.96307542
chr1	36935227	36935479	CSF3R	1225	0.1355028
chr1	36937012	36937290	CSF3R	1212	-0.041126198
chr1	36937622	36937775	CSF3R	707	0.40246891
chr1	36937817	36938024	CSF3R	636	-0.24762887
chr1	36938092	36938300	CSF3R	332	-1.2102724
chr1	36939012	36939262	CSF3R	1060	-0.1176042
chr1	36939342	36939515	CSF3R	879	0.1651631
chr1	36940942	36941304	CSF3R	1680	-0.093575001
chr1	36943182	36943330	CSF3R	661	-0.34143525
chr1	36944982	36945139	CSF3R	632	-0.20475825
chr1	38304385	38304456	MTF1	142	-1.1039064
chr1	40363009	40363757	MYCL	5194	-0.076625933
chr1	40364284	40364804	MYCL	2850	-0.39863703
chr1	40365259	40367605	MYCL	12302	0.5397361
chr1	43803474	43803631	MPL	576	-0.048942618
chr1	43803744	43803920	MPL	708	-0.24298665
chr1	43804179	43804428	MPL	1464	0.19703553
chr1	43804909	43805275	MPL	1290	-0.66864107
chr1	43805599	43805680	MPL	479	0.19504873
chr1	43805689	43805836	MPL	704	0.32949332
chr1	43806034	43806221	MPL	964	-0.15043666
chr1	43812084	43812336	MPL	1229	-0.32470984
chr1	43812429	43812647	MPL	1006	-0.15669115
chr1	43814479	43814698	MPL	661	0.0064993992
chr1	43814899	43815054	MPL	484	-0.084231116
chr1	43817889	43817988	MPL	314	0.050686051
chr1	43818154	43818482	MPL	1644	-0.15772719
chr1	45794955	45795119	MUTYH	746	-0.081002905
chr1	45796125	45796278	MUTYH	517	-0.590608
chr1	45796825	45797037	MUTYH	1189	-0.083599591
chr1	45797060	45797245	MUTYH	859	0.4844996
