gene	GCS	log2_ratio	exons
ABCA13	3.3249505235	0.594783491893	2
ABCA8	0.060687246954	0.0139575417889	1
ABL1	-2.29403548399	-0.137978076712	12
ACADSB	1.71526711465	0.509201175559	1
ACOT13	0.516791485195	0.178564712088	1
ADAMTS6	-0.51639002816	-0.225560828636	1
ADRB1	2.26326183486	0.868013818538	1
ADSS	4.14300489451	1.1810346547	1
AGPAT9	3.38693567659	0.84255073199	1
AK7	3.66896942635	1.07618785702	1
AKT1	-9.69045694468	-0.325579987185	14
AKT2	-12.9277246273	-0.295726638207	13
AKT3	7.63620304123	0.174926067649	16
ALG9	-2.72364789021	-0.428969292312	2
ALK	-9.16496196835	-0.285127663606	26
ALK_fus	-8.59507740723	-0.637049441435	4
ALOX12B	-1.1060944739	-0.175748974011	15
ALS2CR11	2.01018945304	0.233962270924	2
ANKRA2	5.39495141665	0.876452494133	2
ANKRD46	3.05845398523	0.446954783337	2
ANO1	-1.67036589766	-0.498391980508	1
APC	4.75933995355	0.0559845809151	19
APOPT1	4.19469966821	1.42654798098	1
ARID1A	-17.0178038428	-0.393539451711	22
ARID1B	12.9530581867	0.256217918161	25
ARID2	8.82836370925	0.274479914303	21
ARID4A	2.7977068517	0.413169624767	2
ARL6IP6	3.59124876971	0.974864252203	1
ARMC5	0.804177860516	0.408310417793	1
ARPC2	-0.81751791751	-0.246062675456	1
ASH1L	-2.03071908597	-0.92811364969	1
ASXL1	3.46099456646	0.130524923087	13
ATM	10.2137884112	0.163340282201	63
ATP9B	4.7076778899	1.02245265193	1
ATR	-2.39673109532	-0.00272214901359	49
AURKA	-3.45473916982	-0.199374388432	8
AURKB	-0.625591735177	-0.058843789564	8
AXIN1	-5.95788496997	-0.175298210529	12
AXL	-14.4220691497	-0.357234944153	21
B2M	6.16699606114	1.01563730577	1
BAP1	-1.75047627909	-0.0732344498799	16
BARD1	3.11893341876	0.104106137209	12
BAT-25	1.97137238327	0.317754265761	2
BAT-26	1.93264023572	0.228276627911	2
BCL2	8.67069625262	0.343775741061	2
BCL2L1	-2.80133512481	0.00238602998798	5
BLM	-10.245115127	-0.243774551123	23
BRAF	0.972573909317	0.0421453559139	25
BRCA1	-9.56227874873	-0.184818791152	22
BRCA2	2.13483555091	0.00452525016566	26
BRD4	-11.154664997	-0.267786194331	13
BRIP1	-6.42993820011	-0.146924051876	20
BTF3	-2.61840855352	-0.552073798375	2
BTG1	7.78896486692	0.814292585916	2
C20orf96	1.90135552483	0.32413324739	2
C22orf23	3.85851461625	2.8380985092	1
C5orf42	-2.22140419959	-0.469506508414	1
C9orf72	2.59316810346	0.638834326069	1
CAB39	0.570187766392	0.186886745228	1
CALD1	1.61696658575	1.14097714545	1
CALM2	-1.83066468729	-0.612387147509	1
CALR	-7.35698147171	-0.641605198056	9
CARD11	0.0179290790605	0.0469192815259	25
CASP8	3.61126034352	-0.122880701408	14
CAST,ERAP1	2.25784850523	0.766272193791	1
CBFB	0.87774782321	0.120080298079	6
CBL	3.2083332621	0.113841594373	18
CBR4	0.697995577366	0.0719208814788	2
CCND1	-5.50117362398	-0.400728295159	6
CCND2	6.49034942051	0.38107231425	6
CCND3	-1.86874938022	-0.259763658924	5
CCNE1	2.63890190941	0.022751097743	11
CCR4	-2.04561061162	-0.826693137641	1
CD274	0.864893576666	-0.00917137728913	6
CD40	9.57321353429	1.89013688811	2
CD74_fus	-1.54094639347	0.0616052176983	3
CD79A	-6.45271262197	-0.399969795798	5
CD79B	2.31936719628	0.136436546306	6
CDC25B	5.85365849563	0.899357203506	2
CDC73	6.4005277366	0.271811256173	16
CDH1	1.21771021279	-0.0485006719164	17
CDK12	-8.25194000302	-0.274743413747	14
CDK4	6.02553826292	0.118344678264	7
CDK6	9.7178346538	0.287382634884	9
CDK7	2.55423083576	0.758767728721	1
CDK8	0.821280370098	0.0640269671867	14
CDKL3	2.96236032566	0.822334646345	1
CDKN1A	5.77389611219	0.309416848959	4
CDKN1B	0.517825976631	-0.0281586481381	2
CDKN2A	7.7488734764	0.320765335205	8
CDKN2B	7.45886956533	0.69190240196	2
CDKN2C	3.21544952929	0.289863126686	2
CDO1	0.550890598581	0.147865900176	1
CEBPA	1.56308452676	0.0732854804796	3
CEP120	-1.57136355835	-0.27249901663	2
CHD1	2.8212885013	0.406251497688	2
CHEK1	4.73865501739	0.0527625763237	13
CHEK2	-13.0286240856	-0.562302512988	15
CIC	-4.11696960688	-0.104236950349	23
CNKSR3	1.83841538881	0.529958220724	1
CNOT8	0.732806169146	0.250354051916	1
COSM3676668	-1.80224390111	-12.7945057809	1
COSM5045664	-1.35298830704	-1.1254151207	2
COX18	0.341303324578	0.0810571346251	1
CREBBP	-11.7423780164	-0.21162724562	32
CRKL	-2.72610223431	-0.0915534462099	3
CSF1R	11.8347201739	0.280266965025	21
CSF3R	2.29561763871	-0.0808864470406	16
CTAGE5	-1.06494631257	-0.376686693807	1
CTCF	-10.6036986098	-0.260343622969	11
CTNNB1	18.2295245275	0.44458597882	14
CUL3	-2.18843561962	-0.165434580015	17
CXCR4	0.648862865321	0.0181097780535	3
CYFIP1	-0.356038084431	-0.146208806211	1
CYLD	2.5155758672	-0.0202224465054	18
DAXX	4.72541435462	0.307415258447	9
DBT	2.54958240377	0.723488602704	1
DDR2	10.6498190696	0.279158404411	18
DEPDC5	0.463411701418	0.118570897936	1
DIAPH1	4.29799586925	1.03391609131	1
DICER1	3.32456757506	0.0623908216003	26
DIS3	7.75483584758	0.22855346714	22
DNMT3A	4.0539822334	0.108067250753	27
DOT1L	-19.9705858632	-0.505324332427	28
DROSHA	0.0654944999967	0.0121663589186	2
DSCAM	4.13700075357	1.04614943542	1
EGFR	-36.0103029529	-0.529762222398	31
EIF4G3	1.05458260335	0.186775763421	2
EML4_fus	-1.30004110506	-0.0661598023397	16
EP300	-8.13954357963	-0.195529906407	31
EPHA3	10.8322773552	0.278427953868	18
EPHA5	7.57426690407	0.161474812926	19
EPHA7	7.11564457852	0.114564944153	18
EPHB1	13.3338145288	0.272650504178	16
ERBB2	-1.13671472048	0.0141080118617	28
ERBB3	7.43124368649	0.175143789663	28
ERBB4	9.61439243196	0.157706102406	29
ERCC4	-1.61113302025	-0.167106779326	13
ERG	8.6899188035	0.338068710429	11
ERI1	3.17112132456	1.30632788107	1
ERRFI1	-4.52312510409	-0.161580308994	4
ESR1	10.1849065775	0.402315305652	8
ETV1	5.79972069904	0.276941253944	14
ETV6	-102.414770663	-21.5490329877	41
EWSR1_fus	-9.73703767188	-0.172586806349	23
EXOSC8	2.55065865959	0.67100463712	1
EZH2	-4.61860448478	-0.147304887217	20
EZR_fus	-17.420722681	-2.95451288414	1
F13A1	0.452219398183	0.0975871867449	1
FAM149A	6.01472195548	1.08848715626	2
FAM153B	0.105830352489	0.00606525986761	1
FAM46C	1.01737666552	0.050856326016	1
FANCA	-27.2160223024	-0.519731986421	43
FANCC	-4.48008399211	-0.117948328832	16
FANCD2	3.75919906125	0.872318333984	1
FANCG	2.58270318625	0.0649951138573	14
FANCI	4.20734166162	0.645610994212	2
FAS	4.37231759556	0.136395998408	9
FAT1	5.54667604075	0.155898815105	28
FBXW7	6.34578562147	0.267912142669	16
FGF19	-3.49069514906	-0.195201539913	3
FGF3	-3.00538995368	-0.303852461944	3
FGF4	-0.155993334529	0.0171408362938	3
FGFR1	5.10468007416	0.209878360506	20
FGFR2	-18.1408524486	-0.495378747262	19
FGFR2_fus	-7.015387301	-0.476144471244	1
FGFR3	-1.26038554875	-0.0212924824787	18
