Chr	gene	log2_ratio	CopyNumber
chr14	AKT1	-0.325579987185	1.5959550435
chr19	AKT2	-0.295726638207	1.6293238211
chr1	AKT3	0.174926067649	2.25781310276
chr2	ALK	-0.285127663606	1.64133796974
chr5	APC	0.0559845809151	2.07913664905
chr1	ARID1A	-0.393539451711	1.52251933369
chr6	ARID1B	0.256217918161	2.38868715656
chr12	ARID2	0.274479914303	2.41911593977
chr20	ASXL1	0.130524923087	2.18938386265
chr11	ATM	0.163340282201	2.23975399604
chr20	AURKA	-0.199374388432	1.74185630297
chr16	AXIN1	-0.175298210529	1.77116889305
chr19	AXL	-0.357234944153	1.56131870239
chr2	BARD1	0.104106137209	2.14965648734
chr15	BLM	-0.243774551123	1.68906570326
chr17	BRCA1	-0.184818791152	1.75951914132
chr13	BRCA2	0.00452525016566	2.00628317775
chr19	BRD4	-0.267786194331	1.66118621574
chr17	BRIP1	-0.146924051876	1.8063481098
chr19	CALR	-0.641605198056	1.28199870261
chr2	CASP8	-0.122880701408	1.83670419812
chr11	CBL	0.113841594373	2.164211649
chr11	CCND1	-0.400728295159	1.51495160204
chr12	CCND2	0.38107231425	2.60461893088
chr19	CCNE1	0.022751097743	2.0317897194
chr17	CD79B	0.136436546306	2.19837354222
chr1	CDC73	0.271811256173	2.4146452609
chr17	CDK12	-0.274743413747	1.6531946342
chr12	CDK4	0.118344678264	2.17097735602
chr7	CDK6	0.287382634884	2.44084830208
chr9	CDKN2A	0.320765335205	2.49798590276
chr11	CHEK1	0.0527625763237	2.07449844576
chr22	CHEK2	-0.562302512988	1.35444094037
chr19	CIC	-0.104236950349	1.86059370367
chr16	CREBBP	-0.21162724562	1.72712530317
chr5	CSF1R	0.280266965025	2.42883917432
chr16	CTCF	-0.260343622969	1.66977808159
chr3	CTNNB1	0.44458597882	2.72184701175
chr16	CYLD	-0.0202224465054	1.9721613016
chr6	DAXX	0.307415258447	2.47497724048
chr1	DDR2	0.279158404411	2.42697358167
chr14	DICER1	0.0623908216003	2.08838951645
chr13	DIS3	0.22855346714	2.34331916737
chr2	DNMT3A	0.108067250753	2.15556676878
chr19	DOT1L	-0.505324332427	1.4090039612
chr7	EGFR	-0.529762222398	1.38533777357
chr22	EP300	-0.195529906407	1.74650417755
chr3	EPHA3	0.278427953868	2.42574509235
chr4	EPHA5	0.161474812926	2.23685976544
chr6	EPHA7	0.114564944153	2.16529703052
chr3	EPHB1	0.272650504178	2.41605032275
chr12	ERBB3	0.175143789663	2.25815386272
chr2	ERBB4	0.157706102406	2.23102410686
chr21	ERG	0.338068710429	2.52812659971
chr6	ESR1	0.402315305652	2.64325443997
chr7	ETV1	0.276941253944	2.42324664506
chr12	ETV6	-21.5490329877	6.51815507743e-07
chr22	EWSR1_fus	-0.172586806349	1.77450076167
chr7	EZH2	-0.147304887217	1.80587134209
chr16	FANCA	-0.519731986421	1.39500279593
chr9	FANCC	-0.117948328832	1.84299437939
chr10	FAS	0.136395998408	2.19831175635
chr4	FAT1	0.155898815105	2.22823101689
chr4	FBXW7	0.267912142669	2.40812810766
chr8	FGFR1	0.209878360506	2.31318132585
chr10	FGFR2	-0.495378747262	1.41875084606
chr5	FGFR4	0.14157640303	2.20621960571
chr1	FH	0.288579941819	2.44287482712
chr5	FLT4	-0.0229257057211	1.96846941147
chr3	FOXP1	0.309205456083	2.47805027281
chr1	FUBP1	0.240113692235	2.36217146751
chr16	FUS_fus	-0.15672082274	1.79412346824
chr3	GATA2	0.364426720866	2.57473993951
chr12	GLI1	0.121472457759	2.17568916576
chr19	GNA11	-0.53355462956	1.38170092343
chr9	GNAQ	0.256527277174	2.38919942084
chr20	GNAS	0.412263599422	2.66154433701
chr3	GSK3B	0.112243443293	2.16181556245
chr12	HNF1A	-0.335042590832	1.58552146522
chr15	IGF1R	0.316141708737	2.48999303835
chr11	IGF2	0.121499767156	2.17573035071
chr1	IKBKE	0.349490162249	2.54822057321
chr5	IL7R	0.353864036439	2.55595783454
chr4	INPP4B	0.299942961857	2.46219147999
chr6	IRF4	0.0863382239231	2.12334415415
chr1	JAK1	0.168059375877	2.24709228599
chr9	JAK2	0.184657955053	2.2730949602
chr19	JAK3	-0.448464689343	1.4656445998
chr12	KDM5A	-0.14064755105	1.81422381679
chr4	KDR	0.0951772263262	2.13639324291
chr4	KIT	0.332259804685	2.51796774908
chr12	KMT2D	0.0917924694061	2.13138685169
chr12	KRAS	-0.00497483826745	1.99311528685
chr15	MAP2K1	0.22628709608	2.33964086994
chr19	MAP2K2	-0.373270265774	1.54406098403
chr17	MAP2K4	0.155213242501	2.22717240701
chr5	MAP3K1	0.240714269311	2.36315501658
chr12	MDM2	0.216947649584	2.32454386384
chr11	MEN1	-0.241796726543	1.69138287115
chr7	MET	0.0431135073078	2.06067002876
chr3	MITF	0.361152833316	2.56890374291
chr3	MLH1	0.202645407771	2.30161321204
chr2	MSH2	-0.0508266047048	1.9307660916
chr5	MSH3	0.212392215521	2.31721549211
chr2	MSH6	0.301002858437	2.46400102885
chr1	MTOR	-0.340594231857	1.57943193729
chr1	MUTYH	0.283415186107	2.43414512713
chr8	NBN	0.282552130569	2.43268939732
chr17	NF1	-0.161570791164	1.78810221475
chr22	NF2	-0.0143606031032	1.9801907313
chr2	NFE2L2	0.44077011825	2.71465736667
chr9	NOTCH1	-0.390764103749	1.52545106062
chr1	NOTCH2	-0.111433543884	1.8513356171
chr19	NOTCH3	-0.46334173395	1.45060855869
chr5	NPM1	0.252243717903	2.38211608127
chr5	NSD1	-0.096187217708	1.87100418077
