gene	mean_log2ND	std_log2ND	median_log2ND	sample20190415-I1-log2_ND	sample20190415-RZ	sample20190415-CopyRatio
TNFRSF14	0.024225252	0.1038003	0.048279189	0.013853856	-0.09991682	-0.050140089
TNFRSF14	-0.21581017	0.04817016	-0.21512035	-0.20425704	0.23983994	-0.0048514477
TNFRSF14	-0.15303697	0.059516353	-0.14675391	-0.46377417	-5.221039	-0.33273501
TNFRSF14	-0.17638346	0.53690858	-0.26320142	-0.35306312	-0.32906842	-0.10557645
TNFRSF14	-0.57311212	0.09707305	-0.56503291	-0.93186803	-3.6957314	-0.38254988
TNFRSF14	-0.60969772	0.22567056	-0.64336317	-0.42848702	0.80298776	0.19916139
TNFRSF14	0.56556801	0.10932938	0.58318754	0.21171214	-3.2366037	-0.38719016
TNFRSF14	-0.1972259	0.052218937	-0.19197191	-0.26431944	-1.2848508	-0.088062286
ERRFI1	0.45055742	0.27768436	0.39938634	0.47218614	0.077889589	0.057085045
ERRFI1	-0.050764307	0.44226116	-0.1277513	-0.27041073	-0.49664415	-0.15837418
ERRFI1	0.22398337	0.090262907	0.23092439	0.064471569	-1.767191	-0.18216758
ERRFI1	0.28615357	0.05953005	0.27929859	0.33846936	0.87881318	0.043456017
MTOR	-0.013095389	0.47550353	-0.091790656	-0.13079635	-0.2475291	-0.054720451
MTOR	-0.42207713	0.067541605	-0.41272501	-0.60350902	-2.6862241	-0.20649876
MTOR	0.27992029	0.13281689	0.30464255	0.23938507	-0.30519628	-0.080972236
MTOR	0.11485325	0.098714476	0.13063388	0.23852813	1.2528545	0.092179492
MTOR	0.20426349	0.08846237	0.20717686	0.33730406	1.5039227	0.11441244
MTOR	-0.68422866	0.048983307	-0.69118658	-0.57868835	2.1546179	0.096783474
MTOR	0.036958019	0.13084126	0.05227215	-0.035733056	-0.55556691	-0.10371996
MTOR	0.09568641	0.074691968	0.10742552	0.23291041	1.8371989	0.10977013
MTOR	-0.067323189	0.11489564	-0.05332794	-0.013209054	0.47098511	0.02440413
MTOR	-0.68996108	0.049352134	-0.68508981	-0.52113725	3.420801	0.1482378
MTOR	0.019441637	0.053717291	0.023398328	0.10975849	1.6813368	0.070645411
MTOR	-0.17393826	0.057649276	-0.17986591	-0.11463261	1.0287319	0.049518542
MTOR	0.057326634	0.050467282	0.058466777	-0.12468477	-3.6065229	-0.19886631
MTOR	0.11695139	0.056199201	0.12113616	0.28741721	3.0332428	0.1505663
MTOR	-0.16400733	0.08468015	-0.16713529	-0.094749261	0.81787844	0.056671273
MTOR	-0.094672799	0.069936821	-0.097258565	0.015740337	1.5787554	0.097284146
MTOR	-0.26446756	0.089009531	-0.24885235	-0.20527048	0.66506451	0.027867114
MTOR	-0.47810681	0.11210386	-0.45746856	-0.52923874	-0.45611215	-0.087484938
MTOR	-0.2253833	0.095239646	-0.21653069	-0.014194967	2.2174414	0.18662097
MTOR	0.62578836	0.18500604	0.60313624	0.56558025	-0.32543862	-0.053270747
MTOR	0.12744345	0.040048574	0.12972966	0.17394457	1.1611181	0.028500159
MTOR	-0.23989322	0.055289022	-0.23075206	-0.093767793	2.6429375	0.12126951
MTOR	-0.057474482	0.082578593	-0.059893539	-0.23969017	-2.206573	-0.19551139
MTOR	-0.2743685	0.043286789	-0.26908257	-0.11571878	3.6650841	0.13764904
MTOR	-0.030019803	0.048777652	-0.034933579	-0.11602606	-1.7632308	-0.096807238
MTOR	-0.49918912	0.11511644	-0.47806064	-0.49418361	0.043482127	-0.031837728
MTOR	-0.52564972	0.098044539	-0.49951102	-0.45597547	0.71063874	0.027820792
MTOR	-0.25871929	0.10289547	-0.23806766	-0.020737609	2.312849	0.2016153
MTOR	0.25192128	0.059020284	0.25733291	0.60955848	6.0595641	0.33651081
MTOR	-1.3044145	0.1128386	-1.284784	-1.3055601	-0.010152519	-0.036490852
MTOR	0.18602738	0.043596789	0.18178485	-0.16557028	-8.0647605	-0.36306989
MTOR	-0.05790878	0.065933503	-0.065394064	-0.17388127	-1.7589311	-0.12420196
MTOR	-0.24055344	0.074341196	-0.24430867	0.27861029	6.9835268	0.5072042
MTOR	0.28487282	0.044996969	0.28239524	0.49568677	4.6850701	0.19757678
MTOR	-0.72426753	0.13913489	-0.69425669	-0.87234616	-1.064281	-0.19380422
MTOR	-0.28545159	0.083017408	-0.28126743	-0.058408197	2.734889	0.20714448
MTOR	-0.68965544	0.060524241	-0.6846469	-0.70069806	-0.18244957	-0.031765918
MTOR	-0.84349185	0.075372856	-0.85379443	-1.0129608	-2.2484086	-0.17488116
MTOR	-0.46706108	0.11893812	-0.46498708	-0.42457531	0.35720905	0.024697016
MTOR	-0.22141962	0.16914438	-0.24972561	-0.15518516	0.39158534	0.078825693
