Chr	start	end	gene	depth	R-190115-979857-BLD-101100_BC_E19011812-32-DNA_F1901184313-27_L190118-00002-H6_20190121-C8_panel12_plus_P190121536-1_sample20190121-B3-A00168-log2_ND
chr1	2488056	2488211	TNFRSF14	1151	0.1173827
chr1	2489141	2489313	TNFRSF14	938	-0.30180238
chr1	2489756	2489932	TNFRSF14	1004	-0.29554572
chr1	2490291	2491438	TNFRSF14	5164	-0.60458759
chr1	2492036	2492175	TNFRSF14	394	-1.2573341
chr1	2492906	2493294	TNFRSF14	1603	-0.78510334
chr1	2494241	2494376	TNFRSF14	733	-0.48949578
chr1	2494556	2494729	TNFRSF14	523	-1.1903101
chr1	8073238	8073699	ERRFI1	6158	0.57249289
chr1	8073713	8074483	ERRFI1	5120	-0.40140147
chr1	8075343	8075480	ERRFI1	801	-0.42398804
chr1	8075523	8075707	ERRFI1	1539	0.01107926
chr1	11166635	11167580	MTOR	5013	-0.57412448
chr1	11168205	11168364	MTOR	772	-0.85037679
chr1	11169315	11169445	MTOR	941	0.031240723
chr1	11169675	11169815	MTOR	1035	-0.18554511
chr1	11172865	11173001	MTOR	2735	1.2563375
chr1	11174350	11174539	MTOR	687	-1.1674861
chr1	11174835	11174979	MTOR	788	-0.55407935
chr1	11175415	11175563	MTOR	631	-1.099795
chr1	11177030	11177163	MTOR	409	-1.2458109
chr1	11181270	11181471	MTOR	835	-0.84976947
chr1	11182010	11182220	MTOR	1459	-0.22870895
chr1	11184525	11184702	MTOR	1307	-0.26248938
chr1	11186655	11186862	MTOR	1414	-0.30995676
chr1	11187035	11187228	MTOR	1420	-0.18152983
chr1	11187645	11187907	MTOR	1653	-0.48700745
chr1	11188030	11188214	MTOR	1406	-0.19508068
chr1	11188475	11188625	MTOR	886	-0.59806358
chr1	11188885	11189020	MTOR	584	-1.0119565
chr1	11189770	11189904	MTOR	958	-0.1647371
chr1	11190550	11190876	MTOR	4571	0.84553078
chr1	11193105	11193296	MTOR	1389	-0.10983765
chr1	11194385	11194566	MTOR	1211	-0.24704749
chr1	11199325	11199503	MTOR	1408	-0.13086727
chr1	11199555	11199744	MTOR	1214	-0.34524699
chr1	11204670	11204856	MTOR	1023	-0.6847171
chr1	11204990	11205138	MTOR	754	-0.86444392
chr1	11206705	11206859	MTOR	459	-1.5667103
chr1	11210160	11210300	MTOR	416	-1.5684154
chr1	11217180	11217359	MTOR	1419	-0.031086072
chr1	11227465	11227598	MTOR	320	-1.8286876
chr1	11259290	11259503	MTOR	1494	-0.31381209
chr1	11259575	11259789	MTOR	1395	-0.37386132
chr1	11264585	11264802	MTOR	1396	-0.25527328
chr1	11269345	11269553	MTOR	1634	-0.15224007
chr1	11270845	11270977	MTOR	352	-1.4242299
chr1	11272335	11272558	MTOR	1120	-0.83655024
chr1	11272820	11273006	MTOR	707	-1.2371111
chr1	11273420	11273653	MTOR	607	-1.724835
chr1	11276170	11276312	MTOR	490	-1.2575157
chr1	11288695	11289019	MTOR	1473	-0.93229901
chr1	11290950	11291125	MTOR	1122	-0.44715277
chr1	11291325	11291521	MTOR	1052	-0.62376334
chr1	11292465	11292600	MTOR	604	-0.7579727
chr1	11293420	11293565	MTOR	1237	0.036623542
chr1	11294165	11294360	MTOR	829	-0.96573552
chr1	11297875	11298133	MTOR	1281	-0.6707521
chr1	11298430	11298713	MTOR	1552	-0.56466479
chr1	11300325	11300615	MTOR	1906	-0.23924811
chr1	11301575	11301777	MTOR	809	-0.93901699
chr1	11303140	11303395	MTOR	1153	-0.95650356
chr1	11307655	11307831	MTOR	1409	-0.11135854
chr1	11307845	11308173	MTOR	4841	0.69377938
chr1	11313870	11314046	MTOR	1315	-0.24597972
chr1	11316025	11316416	MTOR	1758	-1.0102798
chr1	11316965	11317242	MTOR	1426	-0.59750323
chr1	11318520	11318695	MTOR	853	-0.62839553
chr1	11319275	11319494	MTOR	2446	0.51651147
chr1	11854405	11854540	rs1801131	703	-0.77369511
chr1	11856295	11856442	rs1801133	722	-0.81907177
chr1	13940287	13940366	PDPN	469	-0.44597607
chr1	16174529	16174663	SPEN	599	-0.56985619
chr1	16199279	16200902	SPEN	11831	0.12465585
chr1	16202674	16203200	SPEN	2153	-1.1376802
chr1	16235794	16236007	SPEN	1788	-0.035796801
chr1	16237569	16237827	SPEN	821	-1.2470024
chr1	16242599	16242803	SPEN	1425	-0.077842648
chr1	16245399	16245574	SPEN	857	-0.14111928
chr1	16245874	16246038	SPEN	1809	0.43439815
chr1	16247354	16247492	SPEN	669	-0.68185136
chr1	16248734	16248872	SPEN	410	-1.148797
chr1	16254564	16257510	SPEN	11406	-0.092048642
chr1	16257524	16262465	SPEN	22033	0.88207191
chr1	16262474	16262799	SPEN	1688	-0.38134663
chr1	16263624	16264155	SPEN	4152	0.056321067
chr1	16264274	16264534	SPEN	1430	-0.40157682
chr1	16265189	16265405	SPEN	1432	-0.23349537
chr1	16265764	16265956	SPEN	1774	0.26404458
chr1	17345333	17345454	SDHB	494	-0.75078353
chr1	17349078	17349268	SDHB	1012	-0.57840104
chr1	17350433	17350584	SDHB	724	-0.91143216
chr1	17354218	17354360	SDHB	542	-1.0632571
chr1	17355073	17355252	SDHB	887	-0.75718553
chr1	17359523	17359658	SDHB	645	-0.64106816
chr1	17371233	17371400	SDHB	752	-0.90163644
chr1	17380403	17380537	SDHB	491	-0.86962373
chr1	20915618	20915762	rs2072671	950	-0.1364534
chr1	20931403	20931539	rs60369023	591	-0.93974601
chr1	21307663	21307735	EIF4G3	720	0.094905428
chr1	21307753	21307820	EIF4G3	430	0.48514861
chr1	23885407	23885541	ID3	1135	0.015614691
chr1	23885582	23885943	ID3	2363	-0.10666981
chr1	26227526	26227597	STMN1	536	-0.19585313
chr1	26227621	26227690	STMN1	381	-0.74039659
chr1	27022861	27022937	ARID1A	300	-0.82713665
chr1	27022946	27024052	ARID1A	3343	-1.1337492
chr1	27056106	27056397	ARID1A	1500	-0.63751382
chr1	27057621	27058114	ARID1A	2748	-0.50286804
chr1	27059131	27059315	ARID1A	1176	-0.45873652
chr1	27087321	27087604	ARID1A	1582	-0.49724569
chr1	27087841	27087988	ARID1A	585	-1.1093099
chr1	27088611	27088831	ARID1A	1052	-0.74746936
chr1	27089431	27089786	ARID1A	1629	-0.81187016
chr1	27092686	27092893	ARID1A	1234	-0.49971377
chr1	27092926	27093095	ARID1A	1207	-0.15913952
chr1	27094256	27094498	ARID1A	1817	-0.20870266
chr1	27097581	27097828	ARID1A	1229	-0.82849343
chr1	27098956	27099140	ARID1A	1143	-0.3627708
chr1	27099276	27099503	ARID1A	1438	-0.47898446
chr1	27099801	27100019	ARID1A	2102	0.33698667
chr1	27100036	27100196	ARID1A	1413	0.18891623
chr1	27100256	27100416	ARID1A	981	-0.44773142
chr1	27100796	27101744	ARID1A	3764	-0.91942411
chr1	27102041	27102228	ARID1A	1008	-0.72706564
chr1	27105491	27105662	ARID1A	1682	0.19128036
chr1	27105721	27107260	ARID1A	8863	-0.35929447
chr1	29016631	29016704	GMEB1	593	-0.11290959
chr1	29016731	29016802	GMEB1	759	0.69566997
chr1	36931672	36932548	CSF3R	5092	-0.4009234
chr1	36932797	36932945	CSF3R	1095	-0.026041481
chr1	36933132	36933279	CSF3R	690	-0.68983825
chr1	36933397	36933602	CSF3R	1314	-0.049821927
chr1	36933652	36933860	CSF3R	657	-1.2648898
chr1	36934722	36934872	CSF3R	778	-0.78129228
chr1	36935227	36935479	CSF3R	1917	0.072710969
chr1	36937012	36937290	CSF3R	1515	-0.3702085
chr1	36937622	36937775	CSF3R	1332	0.31821119
chr1	36937817	36938024	CSF3R	1158	-0.24992839
chr1	36938092	36938300	CSF3R	705	-0.98882252
chr1	36939012	36939262	CSF3R	1288	-0.54759403
chr1	36939342	36939515	CSF3R	1000	-0.39903653
chr1	36940942	36941304	CSF3R	2693	-0.017229221
chr1	36943182	36943330	CSF3R	1134	-0.27204001
chr1	36944982	36945139	CSF3R	761	-0.69953532
chr1	38304385	38304456	MTF1	585	0.0014966902
chr1	40363009	40363757	MYCL	5811	-0.21488968
chr1	40364284	40364804	MYCL	3086	-0.58764561
chr1	40365259	40367605	MYCL	15484	0.46319751
chr1	43803474	43803631	MPL	1059	-0.02808666
chr1	43803744	43803920	MPL	1472	0.10681426
chr1	43804179	43804428	MPL	2603	0.38695898
chr1	43804909	43805275	MPL	2069	-0.51057596
chr1	43805599	43805680	MPL	772	0.075670993
chr1	43805689	43805836	MPL	993	-0.20577134
chr1	43806034	43806221	MPL	1200	-0.49531548
