gene	GCS	log2_ratio	exons
ABCA13	-0.168295362801	-0.121152083067	2
ABCA8	-0.180056472857	-0.17104779372	1
ABL1	0.00847921993164	-0.0106667821151	12
ACADSB	0.292085373519	0.0201140849882	1
ACOT13	3.07599647281	1.18187879364	1
ADAMTS6	0.58216012025	0.109958960575	1
ADRB1	4.84298132207	1.77873522075	1
ADSS	0.0600762968472	-0.055388006747	1
AGPAT9	-3.71701609341	-0.988515294343	1
AK7	7.24441816488	2.09187094445	1
AKT1	2.31300366173	0.00187769077922	14
AKT2	2.71213025319	0.00532436224758	13
AKT3	-22.8479444235	-0.638444787543	16
ALG9	-2.84396482613	-0.430109356056	2
ALK	3.01625257185	0.0523928017386	26
ALK_fus	8.65946787504	0.348802442254	4
ALOX12B	5.25024224569	0.0637560256669	15
ALS2CR11	6.16486914595	0.724198984749	2
ANKRA2	-3.17786208415	-0.664505792589	2
ANKRD46	5.75938174817	0.82901234746	2
ANO1	7.44514530117	2.09005600543	1
APC	-10.7215056121	-0.31685512564	19
APOPT1	0.246349012991	0.00926394764902	1
ARID1A	1.70640555544	0.0208819892226	22
ARID1B	-3.66294290378	-0.217808393642	25
ARID2	-16.9418725339	-0.575853459698	21
ARID4A	1.41631294289	0.0524137967969	2
ARL6IP6	2.1157479196	0.507148771463	1
ARMC5	-1.99364508275	-0.634456819797	1
ARPC2	0.468278830658	0.0557420961442	1
ASH1L	4.66309073939	1.84843913511	1
ASXL1	0.379216592961	-0.10918696705	13
ATM	-23.3861800731	-0.474774818089	63
ATP9B	-1.96084925126	-0.473383787943	1
ATR	-34.3110949804	-0.672235517614	49
AURKA	12.1196889824	0.365519469653	8
AURKB	3.8435276539	0.0965491413711	8
AXIN1	-1.21860368907	-0.0537882761012	12
AXL	5.12465241542	0.0492043390444	21
B2M	1.2773683445	0.17117369743	1
BAP1	3.68729666373	0.0880630717427	16
BARD1	-10.0744419108	-0.497724211121	12
BAT-25	5.46491158862	1.0653537794	2
BAT-26	1.06126941814	0.0781409196642	2
BCL2	-3.69911532615	-0.163437706419	2
BCL2L1	-0.15466198412	-0.101976745366	5
BLM	4.29038872542	-0.0841396088246	23
BRAF	-16.5435851236	-0.628176190474	25
BRCA1	2.36690136176	-0.0552791132195	22
BRCA2	-8.09813296615	-0.325328229668	26
BRD4	7.97958391211	0.12357843472	13
BRIP1	-22.2798415372	-0.666505451962	20
BTF3	4.31075837765	0.820096196983	2
BTG1	2.99852632575	0.15753255719	2
C20orf96	2.76049498463	0.425095286531	2
C22orf23	0.28923255337	-0.0058368017378	1
C5orf42	-4.75207003145	-1.04840436795	1
C9orf72	-7.61248206763	-1.78384951485	1
CAB39	1.11803475788	0.283655168719	1
CALD1	-0.58372429426	-0.949950557901	1
CALM2	2.68853930917	0.797141523541	1
CALR	3.55317685356	0.0911012982821	9
CARD11	4.8872792831	0.0810740690313	25
CASP8	15.3757595022	0.207580727542	14
CAST,ERAP1	-2.26543586735	-0.878597072479	1
CBFB	-9.53497494076	-0.426717221083	6
CBL	-4.21948539408	-0.0832602736788	18
CBR4	-5.64511322987	-0.785494269256	2
CCND1	-0.153354759598	-0.0501581230268	6
CCND2	4.02297419527	0.143845783363	6
CCND3	0.243161734504	-0.0136058807041	5
CCNE1	16.6715855377	0.22491962789	11
CCR4	8.45560946293	3.22718574346	1
CD274	3.43971516314	-0.0361046509093	6
CD40	2.36388445084	0.356346269759	2
CD74_fus	6.11169825837	-0.0376683408934	3
CD79A	2.24452378237	0.0778984561581	5
CD79B	1.96050337043	0.103022974084	6
CDC25B	5.1528937304	0.770575736804	2
CDC73	-12.94466765	-0.472710290161	16
CDH1	6.973271381	0.059054063649	17
CDK12	-5.03306417506	-0.386126334435	14
CDK4	9.49045438647	0.299948517766	7
CDK6	1.89822234327	-0.0717531932079	9
CDK7	2.72599979786	0.755249800835	1
CDK8	-22.6636134291	-0.870878692194	14
CDKL3	8.92743433313	2.42989970795	1
CDKN1A	0.266904231959	0.00399473938557	4
CDKN1B	-0.159656461148	-0.0285281658612	2
CDKN2A	-11.3803196432	-0.0741038461936	8
CDKN2B	-2.73535198036	-0.248219758446	2
CDKN2C	-5.43413865948	-0.381671371249	2
CDO1	7.85754659613	2.10990280692	1
CEBPA	-0.0642823275444	0.00287410627749	3
CEP120	-6.66986294793	-1.03455405999	2
CHD1	-6.2330259235	-0.949614224367	2
CHEK1	-18.2596807112	-0.560657235451	13
CHEK2	0.9807090287	-0.0713064926781	15
CIC	-1.16025011824	-0.0444421837135	23
CNKSR3	-3.83020846019	-1.22664399618	1
CNOT8	4.24237567635	1.72335469906	1
COSM3676668	0.989736310625	6.69316040757	1
COSM5045664	1.58175223989	16.5471472893	2
COX18	-4.02988017116	-1.23055330228	1
CREBBP	4.06006198419	0.0136805681947	32
CRKL	0.456590833716	-0.015390377519	3
CSF1R	4.7945620357	0.0545638941241	21
CSF3R	5.00241477721	0.0827447645784	16
CTAGE5	4.2036982481	1.34920664382	1
CTCF	7.04307673705	0.0519072585321	11
CTNNB1	7.97954963484	0.0199134503097	14
CUL3	-13.9444961078	-0.327384421157	17
CXCR4	3.06997178833	0.280658090719	3
CYFIP1	1.48665681494	0.385949831754	1
CYLD	-16.9102460757	-0.795943847151	18
DAXX	8.13637107535	0.600206375891	9
DBT	-1.19686678777	-0.394832031473	1
DDR2	1.90527779209	0.0283994085461	18
DEPDC5	11.82813718	3.0762997241	1
DIAPH1	1.82410160338	0.379649457429	1
DICER1	-2.31918743246	-0.390235823796	26
DIS3	-15.8954430544	-0.455504139732	22
DNMT3A	2.56660884895	0.043139485256	27
DOT1L	7.10510243279	0.0271900194626	28
DROSHA	1.26747999602	0.136741831306	2
DSCAM	7.03807130708	1.72718124916	1
EGFR	7.75993202	0.00648776844628	31
EIF4G3	-3.17244197246	-0.733410032965	2
EML4_fus	-8.92611524257	-0.298927171501	16
EP300	-2.37110254441	-0.123213285523	31
EPHA3	-10.5055197132	-0.3472508203	18
EPHA5	-15.4421997062	-0.492984208295	19
EPHA7	-26.6948022612	-0.58028287238	18
EPHB1	3.56731916637	0.060704173706	16
ERBB2	6.33575785481	0.0893895732336	28
ERBB3	12.9915490789	0.178958216572	28
ERBB4	-32.6240785222	-0.615133713606	29
ERCC4	-1.33644194253	-0.0419557691719	13
ERG	2.59035975926	-0.0108588055613	11
ERI1	4.17837724922	1.6552479645	1
ERRFI1	7.97009432893	0.259461172686	4
ESR1	-1.36635402462	-0.129361852326	8
ETV1	-4.90605257625	-0.315343863149	14
ETV6	2.96359036169	0.187481872003	41
EWSR1_fus	45.4212644964	0.898449027198	23
EXOSC8	5.44442688569	1.38094110826	1
EZH2	7.40767852813	0.242572820543	20
EZR_fus	-1.11257492314	-0.252570670121	1
F13A1	-0.245524260547	-0.121723283412	1
FAM149A	10.3808666038	2.01589943126	2
FAM153B	6.51968819316	2.26274651205	1
FAM46C	-5.73916052692	-0.334417110067	1
FANCA	12.4722186271	0.071512169976	43
FANCC	-0.655463083035	-0.0223838522353	16
FANCD2	8.42877803024	1.91138761968	1
FANCG	7.27603720679	0.15083217801	14
FANCI	2.15992372392	0.247469774245	2
FAS	5.58027818625	-0.00508986476862	9
FAT1	7.8606016109	0.00438465555008	28
FBXW7	-10.6722335695	-0.498994057438	16
FGF19	0.722609002564	-0.0182557646096	3
FGF3	-0.227329630889	-0.0468232783916	3
FGF4	0.283079146777	-0.0809074858536	3
FGFR1	5.64293944483	0.137394124457	20
FGFR2	10.3024581285	0.0175489845197	19
FGFR2_fus	18.3097523994	1.18585857544	1
FGFR3	2.60173202191	0.000961320306649	18
FGFR4	4.50238233573	0.085842092196	18
FH	-1.84905469051	-0.167523074109	10
FLCN	0.421349648944	-0.0127039279497	11
FLOT1	1.55968276568	1.32785403576	1
FLT1	31.4427743025	0.269183228895	39
FLT3	14.2429569052	0.149157653055	24
FLT4	4.42368710687	-0.00380791645838	32
FMO1	2.92283127997	0.831097515832	1
FOLH1	5.33123525531	0.671888857695	2
FOXL2	-3.25338255681	-0.398266721728	1
FOXP1	13.3109334348	0.20231542483	20
FRAS1	1.95119698724	0.159838272523	2
FUBP1	-17.0621832884	-0.571102858103	23
FUS_fus	15.3961297782	0.393335402682	6
GABRP	-2.57971999761	-0.355764228825	2
GANC	9.43480838559	1.61965341248	1
GATA2	-0.465930118086	-0.0328717484462	6
GATA3	-0.485940521927	-0.099275494624	5
GLI1	0.815242018017	-0.0192013508672	11
GMEB1	4.69977489733	0.822203642631	2
GNA11	3.67122607713	0.10023394942	7
GNA13	5.06536530129	-0.000687232115906	5
GNAQ	-9.21992473988	0.117970207811	7
GNAS	0.299882873273	-0.038501657694	22
GPM6A	7.2002898302	2.00361993462	1
GRIN2A	1.30081020937	-0.113668262571	13
GSK3B	-21.7896435773	-0.757456265142	12
GSTM1	0.867678676972	4.22043649496	1
H3F3A	-2.51039466705	-0.721915598946	4
HAUS2	9.10656309883	2.08581489295	1
HCAR2	2.33125671967	0.621864442789	2
HEY1_fus	6.00930477977	0.308553936005	1
HGF	-11.5665651907	-0.458324228227	21
HLA-A	-5.38634469119	-12.078511935	4
HLA-B	-3.14801597468	-2.24892313243	14
HLA-C	-0.89737953602	-0.575592779105	14
HNF1A	-0.783369763426	-0.117366295584	10
HNRNPH1	0.251349348796	-0.0295313267997	2
HRAS	1.14623619376	0.00455401332551	5
HSPA1B	1.21102651847	0.644940608884	1
HSPA4	3.82301460577	0.7031696548	2
HYOU1	1.68294350962	0.400116327355	1
IARS	2.99836351966	0.881666461391	1
ID2	12.3618016737	1.58105820336	2
ID3	2.57303671588	0.116281200266	2
IDH1	-1.02044044783	-0.117969347381	8
IDH2	3.47810592882	0.0394411590518	12
IGF1R	4.58939299192	0.0113421148267	22
