Chr	start	end	gene	depth	R-181105-501025-BLD-485154_BC_E18110806-2-DNA_F1811082897-14_L181108-00003-A3_20181110-C8_panel12_P181110411-2_sample20181110-nextseq-TPNB500304-log2_ND
chr1	2488056	2488211	TNFRSF14	1296	0.21967443
chr1	2489141	2489313	TNFRSF14	1319	-0.044119504
chr1	2489756	2489932	TNFRSF14	1429	-0.0055521444
chr1	2490291	2491438	TNFRSF14	8886	-0.54531178
chr1	2492036	2492175	TNFRSF14	721	-0.51119565
chr1	2492906	2493294	TNFRSF14	2879	-0.43094575
chr1	2494241	2494376	TNFRSF14	1361	0.34388407
chr1	2494556	2494729	TNFRSF14	1364	-0.032154053
chr1	8073238	8073699	ERRFI1	6400	0.44837886
chr1	8073713	8074483	ERRFI1	7390	-0.29305837
chr1	8075343	8075480	ERRFI1	1254	0.78584246
chr1	8075523	8075707	ERRFI1	1786	0.5301603
chr1	11166635	11167580	MTOR	7466	-0.15040017
chr1	11168205	11168364	MTOR	1102	-0.11658568
chr1	11169315	11169445	MTOR	1025	0.77871502
chr1	11169675	11169815	MTOR	1314	0.48758231
chr1	11172865	11173001	MTOR	1284	0.13317109
chr1	11174350	11174539	MTOR	1196	-0.42801772
chr1	11174835	11174979	MTOR	1275	0.95364772
chr1	11175415	11175563	MTOR	1274	0.093044351
chr1	11177030	11177163	MTOR	494	-0.089059899
chr1	11181270	11181471	MTOR	1153	-0.54720658
chr1	11182010	11182220	MTOR	1897	-0.037640741
chr1	11184525	11184702	MTOR	1481	-0.035400172
chr1	11186655	11186862	MTOR	1947	0.089300038
chr1	11187035	11187228	MTOR	1945	0.24182934
chr1	11187645	11187907	MTOR	2191	-0.16671938
chr1	11188030	11188214	MTOR	1546	-0.060875141
chr1	11188475	11188625	MTOR	1027	-0.18880121
chr1	11188885	11189020	MTOR	944	-0.14304944
chr1	11189770	11189904	MTOR	1105	-0.013103599
chr1	11190550	11190876	MTOR	4216	0.42131757
chr1	11193105	11193296	MTOR	1933	0.24931484
chr1	11194385	11194566	MTOR	1486	-0.0060587543
chr1	11199325	11199503	MTOR	1707	0.19357971
chr1	11199555	11199744	MTOR	1582	-0.020364701
chr1	11204670	11204856	MTOR	1636	0.027958306
chr1	11204990	11205138	MTOR	958	-0.30397345
chr1	11206705	11206859	MTOR	910	-0.42119354
chr1	11210160	11210300	MTOR	1105	-0.13242397
chr1	11217180	11217359	MTOR	2198	0.49066211
chr1	11227465	11227598	MTOR	468	-1.0429836
