gene	GCS	log2_ratio	exons
ABCA13	-2.55283528992	-0.482944912649	2
ABCA8	-0.63605741903	-0.387691590945	1
ABL1	0.295094273119	-0.00459329932729	12
ACADSB	-0.26601098231	-0.121514159506	1
ACOT13	-0.445805591368	-0.247087121757	1
ADAMTS6	-1.88183903831	-0.739126998221	1
ADRB1	0.957993496785	0.351711124362	1
ADSS	0.458976617201	0.0883060221454	1
AGPAT9	-5.6795780555	-1.45065730332	1
AK7	3.52127423816	1.00459740197	1
AKT1	1.94430325882	0.0380890526686	14
AKT2	1.90825363627	0.121608295177	13
AKT3	-17.3625126475	-0.341918478369	16
ALG9	-2.86954695533	-0.433031547984	2
ALK	1.70724375867	0.026233638866	26
ALK_fus	3.22408048889	0.131311671973	4
ALOX12B	1.78231754324	0.0451483390796	15
ALS2CR11	2.94087492403	0.344873189439	2
ANKRA2	-5.33074135846	-0.922492326423	2
ANKRD46	3.92842780528	0.574629888924	2
ANO1	5.14418945091	1.45095741302	1
APC	-13.3312871263	-0.237085017575	19
APOPT1	-0.171248403805	-0.106412214906	1
ARID1A	-0.793222750923	-0.0443875524403	22
ARID1B	-0.655328423796	-0.0850390368469	25
ARID2	-6.98109661891	-0.198139169952	21
ARID4A	-1.24658621346	-0.336640113204	2
ARL6IP6	-0.40041242339	-0.167174510895	1
ARMC5	-2.07792171224	-0.635855381468	1
ARPC2	-1.34256593186	-0.419370306694	1
ASH1L	-0.0474960584824	-0.116325589328	1
ASXL1	-0.612691198275	-0.0642840787153	13
ATM	-14.3903023655	-0.241316108805	63
ATP9B	-1.57657421582	-0.362058937381	1
ATR	-16.4072813807	-0.263116109083	49
AURKA	5.16896893519	0.049205301226	8
AURKB	0.922230196486	0.0413729137438	8
AXIN1	0.551580862443	0.0200920006671	12
AXL	-2.97623468629	-0.113677203236	21
B2M	1.02023869504	0.158028593934	1
BAP1	3.66026452935	0.0592624035652	16
BARD1	-3.34085483248	-0.151447742584	12
BAT-25	3.2549401875	0.587538923044	2
BAT-26	-2.94565585908	-0.442396305087	2
BCL2	-4.51794092872	-0.202259254312	2
BCL2L1	1.08720220684	0.0188654094513	5
BLM	1.09994427365	-0.00168094921431	23
BRAF	-7.26687289102	-0.268142676876	25
BRCA1	1.39262403977	0.0024434138768	22
BRCA2	-2.36111780193	-0.0116021553353	26
BRD4	2.85037049015	0.0538091199759	13
BRIP1	-8.69248119489	-0.204498232258	20
BTF3	0.551223811784	0.0734697301583	2
BTG1	0.817025740932	0.001901256699	2
C20orf96	-2.40101878544	-0.471418551964	2
C22orf23	-0.0743204124644	-0.261503503501	1
C5orf42	-6.04068064253	-1.2864961578	1
C9orf72	-3.51632210489	-0.805485089162	1
CAB39	-0.131319164139	-0.0356421976407	1
CALD1	0.106450334444	-0.283323578268	1
CALM2	-0.243703234373	-0.125203600759	1
CALR	0.103306400502	-0.0664857397623	9
CARD11	2.47996687146	0.0535860327782	25
CASP8	7.97106297294	0.112110164149	14
CAST,ERAP1	-1.68148329411	-0.645097635148	1
CBFB	-4.07382379035	-0.202077196973	6
CBL	-0.523014161076	-0.0235681953022	18
CBR4	-0.629506975637	-0.0235011964758	2
CCND1	0.611576952647	0.000899148445767	6
CCND2	-0.264128321986	0.0719337083599	6
CCND3	0.085711309833	-0.0978963094188	5
CCNE1	10.8151935233	0.138150275445	11
CCR4	3.20752555902	1.20173495887	1
CD274	3.18095536365	0.1294157714	6
CD40	-1.82359109465	-0.390831005943	2
CD74_fus	2.46831880661	-0.116743621298	3
CD79A	-0.702121756972	-0.0319475925198	5
CD79B	0.18368347108	0.0981697185327	6
CDC25B	0.0714346264238	-0.0116015666391	2
CDC73	-9.3983743482	-0.177469985936	16
CDH1	0.993015735562	-0.0020778513915	17
CDK12	-1.39333132947	0.0212169380746	14
CDK4	4.00476755423	0.177285020272	7
CDK6	2.07255531848	9.7894444512e-05	9
CDK7	0.510800466736	0.111013423119	1
CDK8	-9.28904226127	-0.347217081969	14
CDKL3	6.62326372532	1.81576539818	1
CDKN1A	0.224701060588	-8.97081937168e-05	4
CDKN1B	-2.17135589515	-0.251333237168	2
CDKN2A	-7.60495755111	-0.142186844245	8
CDKN2B	-1.01102275714	-0.0661561771102	2
CDKN2C	-1.57380679411	-0.0885165919884	2
CDO1	4.75798676682	1.2823055186	1
CEBPA	-0.159445931087	-0.0500574038433	3
CEP120	-1.21984977994	-0.204853813323	2
CHD1	-7.80968077024	-1.13997826731	2
CHEK1	-6.95758226741	-0.205859099411	13
CHEK2	2.79259255453	-0.0124326566782	15
CIC	0.342397170554	-0.0296443432508	23
CNKSR3	-2.85945954815	-0.907025203834	1
CNOT8	3.78050140711	1.55051016304	1
COSM3676668	0.967949164247	6.5689894834	1
COSM5045664	1.63849239592	16.9181051374	2
COX18	-2.67054503127	-0.811650350801	1
CREBBP	1.3525130409	-0.0565436065163	32
CRKL	-0.859677965404	-0.127594757944	3
CSF1R	1.76223796705	0.0189150227001	21
CSF3R	1.64913411656	-0.0078366745293	16
CTAGE5	3.35808926699	1.09160361784	1
CTCF	2.0100660038	-0.0138871415873	11
CTNNB1	7.41078734444	0.148348873307	14
CUL3	-7.38578725039	-0.259523879596	17
CXCR4	-0.400697863266	0.176917829226	3
CYFIP1	0.181506428524	-0.00206438000179	1
CYLD	-14.3273656699	-0.312003710781	18
DAXX	4.88557390981	0.30426692853	9
DBT	-1.55034095654	-0.466757193936	1
DDR2	4.11818614926	0.13319292822	18
DEPDC5	6.76948628656	1.7633148746	1
DIAPH1	0.795222483351	0.159031320019	1
DICER1	3.40924541694	-0.0620249872097	26
DIS3	-5.26376474115	-0.134736205059	22
DNMT3A	-0.22199829481	0.0410861055353	27
DOT1L	4.59934864985	0.0206792986089	28
DROSHA	1.40266630772	0.177059136763	2
DSCAM	2.2883957543	0.549377417345	1
EGFR	6.2998253258	0.0695867408302	31
EIF4G3	1.50096652365	0.224117763073	2
EML4_fus	0.725910948057	-0.119249034345	16
EP300	-1.94376793308	-0.0645151393371	31
