Chr	gene	log2_ratio	CopyNumber
chr14	AKT1	-0.143254726797	1.81094819107
chr1	AKT3	0.275102962966	2.4201608955
chr17	ALOX12B	-0.0382488189212	1.94767259666
chr6	ARID1B	0.128490735295	2.18629902525
chr12	ARID2	0.132063678608	2.19172027033
chr11	ATM	0.0501969353102	2.07081250497
chr3	ATR	0.0888321852182	2.12701791594
chr20	AURKA	-0.155111901485	1.79612542533
chr16	AXIN1	-0.156689306411	1.79416266211
chr19	AXL	-0.0512811051177	1.9301579272
chr2	BARD1	0.147806869971	2.21576805647
chr15	BLM	-0.191734734034	1.75110460251
chr7	BRAF	0.0656477779633	2.09310948623
chr17	BRCA1	-0.0998899931809	1.86620827774
chr13	BRCA2	-0.0790462474757	1.89336656716
chr19	BRD4	-0.216023472607	1.72187036167
chr17	BRIP1	0.0742871984879	2.10568144744
chr11	CBL	0.082592456411	2.1178383216
chr11	CCND1	-0.189679253966	1.75360126731
chr19	CCNE1	-0.281552806965	1.64541008712
chr1	CDC73	0.142591530784	2.20777252077
chr16	CDH1	-0.114610481494	1.84726330351
chr7	CDK6	0.0303334138083	2.04249622764
chr13	CDK8	0.101965515041	2.14646926479
chr9	CDKN2A	0.141111654242	2.2055090101
chr11	CHEK1	0.0698235748982	2.09917664626
chr1	CSF3R	0.212413025538	2.31724891681
chr16	CTCF	-0.188675484344	1.75482177762
chr3	CTNNB1	0.11130181407	2.16040503252
chr2	CUL3	0.136374609146	2.19827916462
chr16	CYLD	0.144346641154	2.21046002041
chr1	DDR2	0.203025675469	2.30221995462
chr14	DICER1	0.141600502644	2.20625645998
chr13	DIS3	0.197076321937	2.29274565985
chr2	DNMT3A	-0.120939547519	1.83917715675
chr19	DOT1L	-0.298124212371	1.62661834254
chr3	EPHA3	0.198628563383	2.29521382532
chr4	EPHA5	0.321449141006	2.49917017392
chr6	EPHA7	0.280024215588	2.42843052957
chr3	EPHB1	0.0694595252376	2.09864700686
chr17	ERBB2	-0.135515960847	1.82068840555
chr12	ERBB3	-0.0388811578028	1.9468191112
chr2	ERBB4	0.227236141745	2.34118045831
chr21	ERG	0.0360541321522	2.05061141645
chr6	ESR1	0.200424750637	2.29807319695
chr7	ETV1	0.162018596808	2.23770304661
chr22	EWSR1_fus	-0.295561869565	1.62950991504
chr16	FANCA	-0.207336719235	1.7322693609
chr9	FANCC	-0.131849682238	1.82532115165
chr9	FANCG	0.197340833174	2.29316606234
chr4	FBXW7	0.237241056725	2.35747268762
