Chr	gene	log2_ratio	CopyNumber
chr1	AKT3	-0.341918478369	1.57798284546
chr5	APC	-0.237085017575	1.69691580174
chr12	ARID2	-0.198139169952	1.74334829842
chr11	ATM	-0.241316108805	1.69194643032
chr3	ATR	-0.263116109083	1.66657228204
chr20	AURKA	0.049205301226	2.06938962444
chr19	AXL	-0.113677203236	1.84845868325
chr3	BAP1	0.0592624035652	2.08386584601
chr2	BARD1	-0.151447742584	1.80069302517
chr7	BRAF	-0.268142676876	1.66077579585
chr13	BRCA2	-0.0116021553353	1.98398049825
chr17	BRIP1	-0.204498232258	1.73568093725
chr2	CASP8	0.112110164149	2.1616158587
chr16	CBFB	-0.202077196973	1.73859608739
chr19	CCNE1	0.138150275445	2.20098646815
chr9	CD274	0.1294157714	2.18770129946
chr1	CDC73	-0.177469985936	1.76850465206
chr12	CDK4	0.177285020272	2.26150787587
chr7	CDK6	9.7894444512e-05	2.00013571512
chr13	CDK8	-0.347217081969	1.57219799823
chr9	CDKN2A	-0.142186844245	1.81228915075
chr11	CHEK1	-0.205859099411	1.73404447395
chr22	CHEK2	-0.0124326566782	1.98283872936
chr3	CTNNB1	0.148348873307	2.21660065051
chr2	CUL3	-0.259523879596	1.67072712378
chr16	CYLD	-0.312003710781	1.6110444383
chr6	DAXX	0.30426692853	2.46958209547
chr1	DDR2	0.13319292822	2.19343648067
chr14	DICER1	-0.0620249872097	1.91583725421
chr13	DIS3	-0.134736205059	1.82167272726
chr7	EGFR	0.0695867408302	2.09883207188
chr4	EPHA5	-0.17428162596	1.77241737414
chr6	EPHA7	-0.179250426813	1.76632347326
chr12	ERBB3	0.0964346026516	2.13825602136
chr2	ERBB4	-0.168985592409	1.77893575247
chr21	ERG	0.0350312757919	2.04915806872
chr6	ESR1	0.101539885528	2.14583609847
chr12	ETV6	-0.0150470696609	1.97924873641
chr22	EWSR1_fus	0.396752681952	2.63308242188
chr7	EZH2	0.12999605818	2.18858142274
chr9	FANCG	0.0669208866845	2.09495736951
chr10	FAS	0.0354125812667	2.04969973445
chr4	FAT1	0.0839873871144	2.11988703342
chr10	FGFR2	0.0562736715941	2.07955331317
chr5	FGFR4	0.102214299859	2.14683944352
chr13	FLT1	0.218643461698	2.32727784937
chr13	FLT3	0.178804996102	2.26389178143
chr5	FLT4	0.0265608319735	2.03716217021
chr3	FOXP1	0.0337281034916	2.04730792005
chr1	FUBP1	-0.126032366147	1.83269617326
chr16	FUS_fus	0.183631926447	2.27147893516
chr9	GNAQ	-0.135386429634	1.82085188193
chr3	GSK3B	-0.309470301026	1.61387595933
chr7	HGF	-0.14578757218	1.80777161697
chr5	IL7R	0.44234116213	2.7176151427
chr4	IL8	-0.261524498065	1.66841189363
chr6	IRF4	-0.0371051090297	1.94921724438
chr1	JAK1	0.0934908605443	2.13389747246
chr9	JAK2	-0.317646425944	1.60475557618
chr4	KDR	0.031524715548	2.04418351021
chr4	KIT	0.158868378393	2.23282220728
chr7	KMT2C	-0.0497941207594	1.93214836467
chr12	KMT2D	0.0611626476167	2.08661241585
chr12	KRAS	-0.133018094067	1.82384345652
chr15	MAP2K1	0.115980496969	2.16742263325
chr17	MAP2K4	-0.154387993858	1.79702690148
chr5	MAP3K1	-0.176929892461	1.76916684096
chr12	MDM2	-0.272818419294	1.6554019715
chr1	MDM4	0.189969585097	2.28147933307
chr7	MET	0.17476305106	2.25755799673
chr3	MITF	-0.0555809523551	1.92441379665
chr3	MLH1	0.233996138431	2.35217620465
chr2	MSH2	-0.0195201408085	1.97312158583
chr5	MSH3	-0.129313677072	1.82853256822
chr1	MTOR	0.0430873704446	2.06063269657
chr17	NF1	-0.185979185932	1.75810448619
chr1	NOTCH2	0.0281567807965	2.03941698182
chr10	NT5C2	-0.0316474608094	1.95660500751
chr1	NTRK1	0.0755968803565	2.1075938578
chr9	NTRK2	0.0947268574378	2.13572642501
chr16	NUP93	0.134098207002	2.1948132752
chr16	PALB2	-0.0334176535989	1.95420571733
chr6	PARK2	0.0686784771358	2.09751114613
chr1	PARP1	0.123055257485	2.17807745286
chr9	PAX5	0.0137696683829	2.01918019985
chr9	PDCD1LG2	0.378379461746	2.59976183173
chr22	PDGFB_fus	-0.187758944142	1.75593696528
chr4	PDGFRA	0.100541914357	2.14435224915
chr2	PIGF	0.0911798303875	2.13048195252
chr12	PIK3C2G	-0.0948572168367	1.8727298293
chr3	PIK3CA	-0.295176882229	1.62994481249
chr3	PIK3CB	-0.114183635908	1.84780992827
chr7	PIK3CG	0.0463810589422	2.06534251771
chr16	PLCG2	0.058442965699	2.08268256495
chr19	POLD1	-0.0662591105401	1.91022276262
chr12	POLE	0.0420255110591	2.05911657774
chr3	PPARG	0.0681818840453	2.09678928166
chr6	PRDM1	-0.0339801912141	1.95344387931
chr8	PREX2	-0.00119726088184	1.9983409325
chr17	PRKAR1A	0.0941466235371	2.13486763526
chr9	PTCH1	0.0313277796034	2.04390448677
chr12	PTPN11	0.262056430661	2.39837363754
chr7	RAC1	0.114699222977	2.1654985749
chr8	RAD21	-0.281986959966	1.64491500519
chr5	RAD50	-0.245113390328	1.68749895607
chr15	RAD51	0.133362186338	2.19369383146
chr17	RAD51D	0.0966794655764	2.1386189699
chr12	RAD52	0.10441322573	2.15011410664
chr1	RAD54L	0.137502275199	2.19999809606
chr3	RAF1	-0.0257125399095	1.96467061638
chr13	RB1	-0.416675303813	1.49829810682
chr5	RICTOR	-0.310461450848	1.61276758681
chr17	RPTOR	0.0419539003699	2.05901437242
chr1	SDHB	0.162679534671	2.23872843413
chr1	SDHC	0.194520831698	2.28868804347
chr11	SDHD	0.261698333164	2.39777840085
chr2	SF3B1	-0.134288188801	1.82223851955
chr4	SLC34A2_fus	0.0851681893786	2.12162280709
chr18	SMAD2	-0.409964814221	1.50528345921
chr18	SMAD4	-0.09255618775	1.87571912641
chr1	SPEN	-0.193817578742	1.74857832545
chr17	SPOP	-0.0450326508871	1.93853576068
chr17	STAT3	0.0518370874532	2.07316808176
chr9	SYK	-0.00747911393922	1.98965857531
chr12	TBX3	0.0669625004545	2.09501779831
chr21	TMPRSS2	0.0694801997957	2.09867708176
chr17	TP53	0.0150429164795	2.02096301055
chr14	TSHR	0.0771923763283	2.10992596369
chr21	U2AF1	0.0200179950488	2.02794425441
chr2	XPO1	0.0548933832601	2.07756466662
