gene	GCS	log2_ratio	exons
ABCA13	3.71863282268	0.642344333933	2
ABCA8	0.474815852545	0.23656337392	1
ABL1	-1.15832721498	-0.0599700856887	12
ACADSB	-3.02871551155	-0.935413985474	1
ACOT13	-0.454749061132	-0.2233307922	1
ADAMTS6	-0.481944934719	-0.213172816961	1
ADRB1	-2.10315017127	-0.767569820469	1
ADSS	0.145583676308	0.0251321810573	1
AGPAT9	1.65950017112	0.410957992692	1
AK7	-1.77676390138	-0.555457767583	1
AKT1	-6.1259894832	-0.143254726797	14
AKT2	0.762093703332	0.0162873698904	13
AKT3	6.80514793488	0.275102962966	16
ALG9	-0.850963921474	-0.148132149589	2
ALK	0.101339640198	-0.00895139159005	26
ALK_fus	-1.03503681814	-0.0895648549794	4
ALOX12B	-2.83455817224	-0.0382488189212	15
ALS2CR11	0.278096313866	0.0171279239055	2
ANKRA2	-1.27020060119	-0.206382218226	2
ANKRD46	-1.85431555456	-0.293476371496	2
ANO1	-4.22886582776	-1.24040861978	1
APC	1.5331882782	0.00978275885637	19
APOPT1	0.123050808743	0.0225358513492	1
ARID1A	1.46623135275	0.00306337617834	22
ARID1B	5.6250270949	0.128490735295	25
ARID2	5.45551183354	0.132063678608	21
ARID4A	-0.242540657479	-0.0462000238075	2
ARL6IP6	-1.16579591759	-0.353457004948	1
ARMC5	-1.5913231048	-0.436721880138	1
ARPC2	-0.634486215678	-0.195054329744	1
ASH1L	-2.10199146273	-0.958147513935	1
ASXL1	-1.90614155787	-0.0405723385621	13
ATM	3.5492744862	0.0501969353102	63
ATP9B	0.749688323962	0.167788785248	1
ATR	6.08590337584	0.0888321852182	49
AURKA	-3.79181778513	-0.155111901485	8
AURKB	2.45061773188	0.152135717258	8
AXIN1	-4.1377022549	-0.156689306411	12
AXL	-3.50794634233	-0.0512811051177	21
B2M	3.51118376996	0.587324439809	1
BAP1	-0.470017102901	0.0138102788601	16
BARD1	3.46551938186	0.147806869971	12
BAT-25	2.10051702072	0.282678600723	2
BAT-26	-2.89999680968	-0.384539033717	2
BCL2	3.50140289476	0.130923586751	2
BCL2L1	0.102014028588	-0.0646559150841	5
BLM	-8.44336261655	-0.191734734034	23
BRAF	4.50370490309	0.0656477779633	25
BRCA1	-4.88259682468	-0.0998899931809	22
BRCA2	-3.52053806457	-0.0790462474757	26
BRD4	-3.40095454742	-0.216023472607	13
BRIP1	4.89420087304	0.0742871984879	20
BTF3	-0.0934768853107	-0.0312191730607	2
BTG1	2.94070094556	0.292096488184	2
C20orf96	-2.34832583166	-0.412703751398	2
C22orf23	-0.78927403622	-0.79255663615	1
C5orf42	0.00486990378947	-0.0090907863759	1
C9orf72	0.465275768601	0.145430838562	1
CAB39	1.25703258065	0.378123357304	1
CALD1	0.978299663452	0.550443113902	1
CALM2	-0.519682783447	-0.187223518223	1
CALR	-2.86918547436	-0.155387314072	9
CARD11	0.485590013698	0.0601903996666	25
CASP8	-0.369458505436	-0.0483269067565	14
CAST,ERAP1	0.42308244358	0.121772314298	1
CBFB	-0.672045048835	-0.0148965272617	6
CBL	2.61707426533	0.082592456411	18
CBR4	-0.175106355657	-0.0653629399316	2
CCND1	-4.6316372619	-0.189679253966	6
CCND2	-0.0221479809503	-0.0583694343706	6
CCND3	3.05544675389	0.22128771437	5
CCNE1	-7.18806189469	-0.281552806965	11
CCR4	-5.42635605558	-2.14959222368	1
CD274	1.29916980367	0.0263059567681	6
CD40	-0.886368420383	-0.116328308015	2
CD74_fus	-5.15690330849	-0.286496815426	3
CD79A	-1.32209212789	-0.135825920974	5
CD79B	-1.95572152861	-0.174993150878	6
CDC25B	-2.44020959812	-0.394757169521	2
CDC73	2.5362794366	0.142591530784	16
CDH1	-4.40384256092	-0.114610481494	17
CDK12	-1.01139784476	-0.107563595405	14
CDK4	-1.12430138003	-0.0416678124385	7
CDK6	2.34752008768	0.0303334138083	9
CDK7	-0.811590357048	-0.263029350987	1
CDK8	3.27126412131	0.101965515041	14
CDKL3	-0.809214502518	-0.22916709714	1
CDKN1A	3.69135268706	0.180756519364	4
CDKN1B	-0.511963433657	-0.110587634115	2
CDKN2A	4.11094595175	0.141111654242	8
CDKN2B	4.22558061449	0.354783541817	2
CDKN2C	3.5670613536	0.241534960492	2
CDO1	-0.546638721757	-0.155090628837	1
