Chr	start	end	gene	depth	R-181108-995555-BLD-101100_BC_E18111102-16-DNA_F1811112948-6_L181111-00002-A4_20181113-C11_panel12_P181114419-3_sample20181114-A3-A00168-log2_ND
chr1	2488056	2488211	TNFRSF14	1151	-0.12213772
chr1	2489141	2489313	TNFRSF14	1357	-0.14650202
chr1	2489756	2489932	TNFRSF14	1555	-0.027738788
chr1	2490291	2491438	TNFRSF14	9994	-0.53222712
chr1	2492036	2492175	TNFRSF14	781	-0.58913039
chr1	2492906	2493294	TNFRSF14	3244	-0.40533993
chr1	2494241	2494376	TNFRSF14	1598	0.43631388
chr1	2494556	2494729	TNFRSF14	1605	0.059488945
chr1	8073238	8073699	ERRFI1	6195	0.506728
chr1	8073713	8074483	ERRFI1	7009	-0.28204275
chr1	8075343	8075480	ERRFI1	1189	0.88274461
chr1	8075523	8075707	ERRFI1	1556	0.48894594
chr1	11166635	11167580	MTOR	6996	-0.12255004
chr1	11168205	11168364	MTOR	1063	-0.078542019
chr1	11169315	11169445	MTOR	1007	0.90401591
chr1	11169675	11169815	MTOR	1202	0.52334008
chr1	11172865	11173001	MTOR	1410	0.22843857
chr1	11174350	11174539	MTOR	1209	-0.46063676
chr1	11174835	11174979	MTOR	1015	0.75427808
chr1	11175415	11175563	MTOR	1291	0.083248211
chr1	11177030	11177163	MTOR	445	-0.046507748
chr1	11181270	11181471	MTOR	1178	-0.55493593
chr1	11182010	11182220	MTOR	2241	0.15979752
chr1	11184525	11184702	MTOR	1452	0.014541843
chr1	11186655	11186862	MTOR	1880	0.17140461
chr1	11187035	11187228	MTOR	1955	0.27790754
chr1	11187645	11187907	MTOR	2308	-0.063255897
chr1	11188030	11188214	MTOR	1715	0.10395475
chr1	11188475	11188625	MTOR	1031	-0.15373498
chr1	11188885	11189020	MTOR	868	-0.19276232
chr1	11189770	11189904	MTOR	1145	-0.029763702
chr1	11190550	11190876	MTOR	4830	0.49598335
chr1	11193105	11193296	MTOR	2062	0.30481481
chr1	11194385	11194566	MTOR	1507	-0.081268221
chr1	11199325	11199503	MTOR	1729	0.31341754
chr1	11199555	11199744	MTOR	1547	-0.10481902
chr1	11204670	11204856	MTOR	1694	0.060397764
chr1	11204990	11205138	MTOR	919	-0.34467407
chr1	11206705	11206859	MTOR	911	-0.43658798
chr1	11210160	11210300	MTOR	1095	-0.15811763
chr1	11217180	11217359	MTOR	2196	0.42868615
chr1	11227465	11227598	MTOR	467	-0.93484818
chr1	11259290	11259503	MTOR	1609	-0.26904456
chr1	11259575	11259789	MTOR	2018	0.25930746
chr1	11264585	11264802	MTOR	1408	-0.52923275
chr1	11269345	11269553	MTOR	2262	0.4865259
chr1	11270845	11270977	MTOR	462	-0.022118327
chr1	11272335	11272558	MTOR	1779	-0.24815102
chr1	11272820	11273006	MTOR	872	-0.76601559
chr1	11273420	11273653	MTOR	1213	-0.64801872
chr1	11276170	11276312	MTOR	784	-0.030192928
chr1	11288695	11289019	MTOR	2794	-0.23283012
chr1	11290950	11291125	MTOR	1499	-0.075333835
chr1	11291325	11291521	MTOR	1464	-0.17237506
