Chr	gene	log2_ratio	CopyNumber
chr19	AKT2	0.00532436224758	2.00739477041
chr1	AKT3	-0.638444787543	1.28481016528
chr2	ALK	0.0523928017386	2.07396680291
chr17	ALOX12B	0.0637560256669	2.09036666836
chr5	APC	-0.31685512564	1.60563600611
chr6	ARID1B	-0.217808393642	1.71974135859
chr12	ARID2	-0.575853459698	1.34177850777
chr11	ATM	-0.474774818089	1.43915819235
chr3	ATR	-0.672235517614	1.2550670869
chr20	AURKA	0.365519469653	2.57669087832
chr17	AURKB	0.0965491413711	2.13842578893
chr19	AXL	0.0492043390444	2.06938824429
chr3	BAP1	0.0880630717427	2.1258842861
chr2	BARD1	-0.497724211121	1.41644618342
chr15	BLM	-0.0841396088246	1.8866939186
chr7	BRAF	-0.628176190474	1.29398761539
chr17	BRCA1	-0.0552791132195	1.9248164626
chr13	BRCA2	-0.325328229668	1.59623356995
chr19	BRD4	0.12357843472	2.17886745154
chr17	BRIP1	-0.666505451962	1.26006184829
chr19	CALR	0.0911012982821	2.13036598437
chr7	CARD11	0.0810740690313	2.11561054146
chr2	CASP8	0.207580727542	2.30950029032
chr16	CBFB	-0.426717221083	1.48790537433
chr11	CBL	-0.0832602736788	1.88784422544
chr12	CCND2	0.143845783363	2.20969275225
chr19	CCNE1	0.22491962789	2.33742427629
chr9	CD274	-0.0361046509093	1.95056942658
chr1	CDC73	-0.472710290161	1.44121913324
chr16	CDH1	0.059054063649	2.0835649362
chr17	CDK12	-0.386126334435	1.5303627526
chr12	CDK4	0.299948517766	2.46220096206
chr7	CDK6	-0.0717531932079	1.90296207107
chr13	CDK8	-0.870878692194	1.09362741036
chr9	CDKN2A	-0.0741038461936	1.89986400729
chr11	CHEK1	-0.560657235451	1.35598645231
chr16	CREBBP	0.0136805681947	2.01905550005
chr5	CSF1R	0.0545638941241	2.07709023731
chr1	CSF3R	0.0827447645784	2.11806191778
chr16	CTCF	0.0519072585321	2.0732689208
chr3	CTNNB1	0.0199134503097	2.02779730498
chr2	CUL3	-0.327384421157	1.59396016916
chr16	CYLD	-0.795943847151	1.15193247721
chr6	DAXX	0.600206375891	3.03186680711
chr13	DIS3	-0.455504139732	1.45851058881
chr19	DOT1L	0.0271900194626	2.03805081019
chr7	EGFR	0.00648776844628	2.00901420998
chr2	EML4_fus	-0.298927171501	1.62571326932
chr3	EPHA3	-0.3472508203	1.57216123182
chr4	EPHA5	-0.492984208295	1.42110759851
chr6	EPHA7	-0.58028287238	1.33766525011
chr3	EPHB1	0.060704173706	2.08594941685
chr17	ERBB2	0.0893895732336	2.12783985219
chr12	ERBB3	0.178958216572	2.26413222933
chr2	ERBB4	-0.615133713606	1.30573876142
chr21	ERG	-0.0108588055613	1.98500300919
chr7	ETV1	-0.315343863149	1.60731883496
chr12	ETV6	0.187481872003	2.27754865109
chr22	EWSR1_fus	0.898449027198	3.72812188454
chr7	EZH2	0.242572820543	2.36620131173
chr16	FANCA	0.071512169976	2.10163505533
chr9	FANCG	0.15083217801	2.2204193612
chr10	FAS	-0.00508986476862	1.99295638151
chr4	FAT1	0.00438465555008	2.00608766944
chr4	FBXW7	-0.498994057438	1.41519998962
chr8	FGFR1	0.137394124457	2.19983318074
chr10	FGFR2	0.0175489845197	2.02447662366
chr5	FGFR4	0.085842092196	2.12261407796
chr13	FLT1	0.269183228895	2.41025072346
chr13	FLT3	0.149157653055	2.21784363275
chr5	FLT4	-0.00380791645838	1.99472806744
chr3	FOXP1	0.20231542483	2.30108683174
chr1	FUBP1	-0.571102858103	1.34620408715
chr16	FUS_fus	0.393335402682	2.62685287961
chr19	GNA11	0.10023394942	2.14389455379
chr9	GNAQ	0.117970207811	2.17041392345
chr3	GSK3B	-0.757456265142	1.18307680402
chr7	HGF	-0.458324228227	1.45566236976
chr15	IDH2	0.0394411590518	2.05543130921
chr15	IGF1R	0.0113421148267	2.01578547931
chr1	IKBKE	0.0599478736301	2.08485619187
chr5	IL7R	0.465640287822	2.76186018621
chr4	IL8	-0.555304284377	1.36102702676
chr4	INPP4B	-0.324950120143	1.59665197454
chr6	IRF4	-0.0124831936206	1.98276927265
chr1	JAK1	0.182689923392	2.26999626445
chr9	JAK2	-0.715886663125	1.21766167335
chr19	JAK3	0.0469363280529	2.06613758638
chr12	KDM5A	-0.086827923906	1.88318153039
chr4	KIT	0.0656666181875	2.09313682043
chr11	KMT2A	-0.0488646948339	1.93339351163
chr7	KMT2C	-0.225741673523	1.71031057362
chr12	KMT2D	0.105817322971	2.15220771532
chr12	KRAS	-0.653076594732	1.27184548086
chr15	MAP2K1	0.130059192794	2.18867720061
chr17	MAP2K4	-0.200593479938	1.74038503896
chr5	MAP3K1	-0.402946002123	1.51262461146
chr12	MDM2	-0.16260736785	1.78681792438
chr1	MDM4	0.269483569566	2.41075254239
chr7	MET	0.343967295833	2.53848422699
chr3	MITF	-0.145540100971	1.80808173781
chr3	MLH1	0.112704446521	2.16250646606
chr11	MRE11A	-0.5988107048	1.32059610432
chr2	MSH2	-0.21207953345	1.72658393074
chr5	MSH3	-0.165568388779	1.78315437848
chr2	MSH6	0.0597900367144	2.08462811229
chr1	MTOR	0.101567061062	2.1458765192
chr1	MUTYH	0.0517082725969	2.07298298171
